speech,model,cef,utterance_length,utterance_count,average_wer,average_wer_ci_lower,average_wer_ci_upper
hmi,chirp,A1,1,234,0.405983,0.321862,0.490104
hmi,chirp,A1,2,269,0.395911,0.337019,0.454803
hmi,chirp,A1,3,270,0.335802,0.287928,0.383677
hmi,chirp,A1,4,195,0.283333,0.240838,0.325829
hmi,chirp,A1,5,128,0.275,0.225234,0.324766
hmi,chirp,A1,6,75,0.264444,0.206573,0.322316
hmi,chirp,A1,7,42,0.340136,0.252703,0.427569
hmi,chirp,A1,8,16,0.390625,0.252983,0.528267
hmi,chirp,A1,9,5,0.377778,0.105773,0.649782
hmi,chirp,A1,10,3,0.4,0.0,0.808007
hmi,chirp,A1,12,3,0.388889,0.085755,0.692023
hmi,chirp,A2,1,510,0.586275,0.51291,0.659639
hmi,chirp,A2,2,618,0.436084,0.394429,0.477739
hmi,chirp,A2,3,631,0.340729,0.309648,0.37181
hmi,chirp,A2,4,435,0.263793,0.233645,0.293941
hmi,chirp,A2,5,311,0.257235,0.22571,0.28876
hmi,chirp,A2,6,183,0.283242,0.241861,0.324624
hmi,chirp,A2,7,120,0.308333,0.260543,0.356123
hmi,chirp,A2,8,48,0.28125,0.203877,0.358623
hmi,chirp,A2,9,21,0.31746,0.187934,0.446986
hmi,chirp,A2,10,13,0.115385,0.057317,0.173452
hmi,chirp,A2,11,3,0.090909,0.0,0.269091
hmi,chirp,A2,12,1,0.333333,0.333333,0.333333
hmi,chirp,B1,1,369,0.490515,0.423612,0.557418
hmi,chirp,B1,2,375,0.353333,0.305672,0.400995
hmi,chirp,B1,3,372,0.303763,0.265392,0.342135
hmi,chirp,B1,4,277,0.286101,0.248834,0.323368
hmi,chirp,B1,5,179,0.241341,0.200294,0.282388
hmi,chirp,B1,6,129,0.242894,0.202377,0.283411
hmi,chirp,B1,7,60,0.273809,0.206498,0.341121
hmi,chirp,B1,8,31,0.197581,0.128682,0.266479
hmi,chirp,B1,9,17,0.228758,0.090934,0.366582
hmi,chirp,B1,10,2,0.1,0.1,0.1
hmi,chirp,B1,12,1,0.083333,0.083333,0.083333
