speech,model,cef,utterance_length,utterance_count,average_wer,average_wer_ci_lower,average_wer_ci_upper,substitution_rate,substitution_rate_ci_lower,substitution_rate_ci_upper,deletion_rate,deletion_rate_ci_lower,deletion_rate_ci_upper,insertion_rate,insertion_rate_ci_lower,insertion_rate_ci_upper
hmi,chirp,A1,1,234,0.405983,0.321862,0.490104,0.286325,0.228281,0.344369,0.0,0.0,0.0,0.119658,0.06614,0.173176
hmi,chirp,A1,2,269,0.395911,0.337019,0.454803,0.269517,0.226201,0.312832,0.050186,0.032197,0.068174,0.076208,0.048712,0.103704
hmi,chirp,A1,3,270,0.335802,0.287928,0.383677,0.234568,0.198423,0.270712,0.069136,0.050297,0.087974,0.032099,0.018494,0.045704
hmi,chirp,A1,4,195,0.283333,0.240838,0.325829,0.179487,0.146883,0.212091,0.082051,0.059945,0.104157,0.021795,0.011251,0.032339
hmi,chirp,A1,5,128,0.275,0.225234,0.324766,0.173437,0.134216,0.212659,0.084375,0.05771,0.11104,0.017188,0.006513,0.027862
hmi,chirp,A1,6,75,0.264444,0.206573,0.322316,0.162222,0.115415,0.209029,0.093333,0.058673,0.127993,0.008889,0.000356,0.017422
hmi,chirp,A1,7,42,0.340136,0.252703,0.427569,0.176871,0.102459,0.251283,0.159864,0.098612,0.221115,0.003401,0.0,0.010068
hmi,chirp,A1,8,16,0.390625,0.252983,0.528267,0.101562,0.041472,0.161653,0.289062,0.131361,0.446764,0.0,0.0,0.0
hmi,chirp,A1,9,5,0.377778,0.105773,0.649782,0.2,0.073015,0.326985,0.133333,0.0,0.307555,0.044444,0.0,0.097789
hmi,chirp,A1,10,3,0.4,0.0,0.808007,0.033333,0.0,0.098667,0.366667,0.0,0.764074,0.0,0.0,0.0
hmi,chirp,A1,12,3,0.388889,0.085755,0.692023,0.138889,0.0,0.411111,0.25,0.000504,0.499496,0.0,0.0,0.0
hmi,chirp,A2,1,510,0.586275,0.51291,0.659639,0.376471,0.334379,0.418562,0.003922,0.0,0.009351,0.205882,0.152386,0.259378
hmi,chirp,A2,2,618,0.436084,0.394429,0.477739,0.27589,0.248363,0.303417,0.064725,0.051292,0.078158,0.095469,0.073856,0.117083
hmi,chirp,A2,3,631,0.340729,0.309648,0.37181,0.221342,0.198621,0.244062,0.064976,0.052847,0.077106,0.054411,0.04223,0.066592
hmi,chirp,A2,4,435,0.263793,0.233645,0.293941,0.177011,0.154515,0.199508,0.066092,0.05207,0.080114,0.02069,0.013293,0.028086
hmi,chirp,A2,5,311,0.257235,0.22571,0.28876,0.171061,0.14605,0.196073,0.061093,0.047615,0.074572,0.02508,0.017085,0.033076
hmi,chirp,A2,6,183,0.283242,0.241861,0.324624,0.163934,0.135131,0.192738,0.087432,0.063981,0.110882,0.031876,0.019696,0.044057
hmi,chirp,A2,7,120,0.308333,0.260543,0.356123,0.188095,0.151647,0.224543,0.096429,0.069272,0.123585,0.02381,0.013158,0.034461
hmi,chirp,A2,8,48,0.28125,0.203877,0.358623,0.143229,0.093224,0.193234,0.119792,0.076661,0.162922,0.018229,0.003659,0.0328
hmi,chirp,A2,9,21,0.31746,0.187934,0.446986,0.153439,0.063929,0.242949,0.148148,0.068155,0.228141,0.015873,0.0,0.032913
hmi,chirp,A2,10,13,0.115385,0.057317,0.173452,0.046154,0.017948,0.07436,0.061538,0.00931,0.113766,0.007692,0.0,0.022769
hmi,chirp,A2,11,3,0.090909,0.0,0.269091,0.060606,0.0,0.179394,0.030303,0.0,0.089697,0.0,0.0,0.0
hmi,chirp,A2,12,1,0.333333,0.333333,0.333333,0.083333,0.083333,0.083333,0.25,0.25,0.25,0.0,0.0,0.0
hmi,chirp,B1,1,369,0.490515,0.423612,0.557418,0.287263,0.241032,0.333494,0.01084,0.00026,0.02142,0.192412,0.150081,0.234742
hmi,chirp,B1,2,375,0.353333,0.305672,0.400995,0.218667,0.186802,0.250532,0.057333,0.04036,0.074306,0.077333,0.054366,0.1003
hmi,chirp,B1,3,372,0.303763,0.265392,0.342135,0.206093,0.17841,0.233777,0.050179,0.037307,0.063051,0.047491,0.031816,0.063166
hmi,chirp,B1,4,277,0.286101,0.248834,0.323368,0.181408,0.152119,0.210697,0.063177,0.046905,0.079449,0.041516,0.02894,0.054092
hmi,chirp,B1,5,179,0.241341,0.200294,0.282388,0.164246,0.132858,0.195634,0.044693,0.029627,0.059758,0.032402,0.018811,0.045993
hmi,chirp,B1,6,129,0.242894,0.202377,0.283411,0.144703,0.114116,0.175289,0.068476,0.046722,0.090229,0.029716,0.01605,0.043382
hmi,chirp,B1,7,60,0.273809,0.206498,0.341121,0.145238,0.099373,0.191103,0.109524,0.066204,0.152843,0.019048,0.004982,0.033113
hmi,chirp,B1,8,31,0.197581,0.128682,0.266479,0.125,0.058751,0.191249,0.060484,0.030702,0.090266,0.012097,0.0,0.025321
hmi,chirp,B1,9,17,0.228758,0.090934,0.366582,0.183006,0.075826,0.290186,0.03268,0.0,0.068913,0.013072,0.0,0.030613
hmi,chirp,B1,10,2,0.1,0.1,0.1,0.05,0.0,0.148,0.05,0.0,0.148,0.0,0.0,0.0
hmi,chirp,B1,12,1,0.083333,0.083333,0.083333,0.083333,0.083333,0.083333,0.0,0.0,0.0,0.0,0.0,0.0
