speech,model,cef,utterance_length,utterance_count,proportion,percentage
hmi,chirp,A1,1,234,0.18871,18.871
hmi,chirp,A1,2,269,0.216935,21.694
hmi,chirp,A1,3,270,0.217742,21.774
hmi,chirp,A1,4,195,0.157258,15.726
hmi,chirp,A1,5,128,0.103226,10.323
hmi,chirp,A1,6,75,0.060484,6.048
hmi,chirp,A1,7,42,0.033871,3.387
hmi,chirp,A1,8,16,0.012903,1.29
hmi,chirp,A1,9,5,0.004032,0.403
hmi,chirp,A1,10,3,0.002419,0.242
hmi,chirp,A1,12,3,0.002419,0.242
hmi,chirp,A2,1,510,0.176227,17.623
hmi,chirp,A2,2,618,0.213545,21.355
hmi,chirp,A2,3,631,0.218037,21.804
hmi,chirp,A2,4,435,0.150311,15.031
hmi,chirp,A2,5,311,0.107464,10.746
hmi,chirp,A2,6,183,0.063234,6.323
hmi,chirp,A2,7,120,0.041465,4.147
hmi,chirp,A2,8,48,0.016586,1.659
hmi,chirp,A2,9,21,0.007256,0.726
hmi,chirp,A2,10,13,0.004492,0.449
hmi,chirp,A2,11,3,0.001037,0.104
hmi,chirp,A2,12,1,0.000346,0.035
hmi,chirp,B1,1,369,0.203642,20.364
hmi,chirp,B1,2,375,0.206954,20.695
hmi,chirp,B1,3,372,0.205298,20.53
hmi,chirp,B1,4,277,0.15287,15.287
hmi,chirp,B1,5,179,0.098786,9.879
hmi,chirp,B1,6,129,0.071192,7.119
hmi,chirp,B1,7,60,0.033113,3.311
hmi,chirp,B1,8,31,0.017108,1.711
hmi,chirp,B1,9,17,0.009382,0.938
hmi,chirp,B1,10,2,0.001104,0.11
hmi,chirp,B1,12,1,0.000552,0.055
