speech,model,cef,utterance_length,utterance_count,substitution_rate,substitution_rate_ci_lower,substitution_rate_ci_upper
hmi,chirp,A1,1,234,0.286325,0.228281,0.344369
hmi,chirp,A1,2,269,0.269517,0.226201,0.312832
hmi,chirp,A1,3,270,0.234568,0.198423,0.270712
hmi,chirp,A1,4,195,0.179487,0.146883,0.212091
hmi,chirp,A1,5,128,0.173437,0.134216,0.212659
hmi,chirp,A1,6,75,0.162222,0.115415,0.209029
hmi,chirp,A1,7,42,0.176871,0.102459,0.251283
hmi,chirp,A1,8,16,0.101562,0.041472,0.161653
hmi,chirp,A1,9,5,0.2,0.073015,0.326985
hmi,chirp,A1,10,3,0.033333,0.0,0.098667
hmi,chirp,A1,12,3,0.138889,0.0,0.411111
hmi,chirp,A2,1,510,0.376471,0.334379,0.418562
hmi,chirp,A2,2,618,0.27589,0.248363,0.303417
hmi,chirp,A2,3,631,0.221342,0.198621,0.244062
hmi,chirp,A2,4,435,0.177011,0.154515,0.199508
hmi,chirp,A2,5,311,0.171061,0.14605,0.196073
hmi,chirp,A2,6,183,0.163934,0.135131,0.192738
hmi,chirp,A2,7,120,0.188095,0.151647,0.224543
hmi,chirp,A2,8,48,0.143229,0.093224,0.193234
hmi,chirp,A2,9,21,0.153439,0.063929,0.242949
hmi,chirp,A2,10,13,0.046154,0.017948,0.07436
hmi,chirp,A2,11,3,0.060606,0.0,0.179394
hmi,chirp,A2,12,1,0.083333,0.083333,0.083333
hmi,chirp,B1,1,369,0.287263,0.241032,0.333494
hmi,chirp,B1,2,375,0.218667,0.186802,0.250532
hmi,chirp,B1,3,372,0.206093,0.17841,0.233777
hmi,chirp,B1,4,277,0.181408,0.152119,0.210697
hmi,chirp,B1,5,179,0.164246,0.132858,0.195634
hmi,chirp,B1,6,129,0.144703,0.114116,0.175289
hmi,chirp,B1,7,60,0.145238,0.099373,0.191103
hmi,chirp,B1,8,31,0.125,0.058751,0.191249
hmi,chirp,B1,9,17,0.183006,0.075826,0.290186
hmi,chirp,B1,10,2,0.05,0.0,0.148
hmi,chirp,B1,12,1,0.083333,0.083333,0.083333
