speech,model,cef,utterance_length,utterance_count,average_wer,average_wer_ci_lower,average_wer_ci_upper
hmi,whisper,A1,1,234,0.594017,0.478182,0.709852
hmi,whisper,A1,2,269,0.468401,0.405402,0.531401
hmi,whisper,A1,3,270,0.377778,0.329952,0.425604
hmi,whisper,A1,4,195,0.34359,0.298546,0.388633
hmi,whisper,A1,5,128,0.34375,0.296331,0.391169
hmi,whisper,A1,6,75,0.313333,0.254517,0.37215
hmi,whisper,A1,7,42,0.428571,0.347602,0.509541
hmi,whisper,A1,8,16,0.453125,0.366866,0.539384
hmi,whisper,A1,9,5,0.555555,0.131028,0.980082
hmi,whisper,A1,10,3,0.466667,0.181885,0.751448
hmi,whisper,A1,12,3,0.583333,0.333838,0.832829
hmi,whisper,A2,1,510,0.678431,0.600989,0.755874
hmi,whisper,A2,2,618,0.529126,0.481412,0.576841
hmi,whisper,A2,3,631,0.381405,0.348705,0.414105
hmi,whisper,A2,4,435,0.345977,0.313943,0.378011
hmi,whisper,A2,5,311,0.353698,0.317341,0.390055
hmi,whisper,A2,6,183,0.347905,0.305524,0.390286
hmi,whisper,A2,7,120,0.347619,0.297613,0.397625
hmi,whisper,A2,8,48,0.398438,0.309796,0.487079
hmi,whisper,A2,9,21,0.433862,0.303798,0.563927
hmi,whisper,A2,10,13,0.223077,0.136686,0.309468
hmi,whisper,A2,11,3,0.151515,0.0,0.308656
hmi,whisper,A2,12,1,0.75,0.75,0.75
hmi,whisper,B1,1,369,0.509485,0.432002,0.586969
hmi,whisper,B1,2,375,0.368,0.31829,0.41771
hmi,whisper,B1,3,372,0.325269,0.286229,0.364308
hmi,whisper,B1,4,277,0.323105,0.28496,0.36125
hmi,whisper,B1,5,179,0.275978,0.2343,0.317655
hmi,whisper,B1,6,129,0.333333,0.290191,0.376475
hmi,whisper,B1,7,60,0.352381,0.270202,0.43456
hmi,whisper,B1,8,31,0.362903,0.250226,0.475581
hmi,whisper,B1,9,17,0.307189,0.229004,0.385375
hmi,whisper,B1,10,2,0.15,0.052,0.248
hmi,whisper,B1,12,1,0.25,0.25,0.25
