speech,model,cef,utterance_length,utterance_count,average_wer,average_wer_ci_lower,average_wer_ci_upper,substitution_rate,substitution_rate_ci_lower,substitution_rate_ci_upper,deletion_rate,deletion_rate_ci_lower,deletion_rate_ci_upper,insertion_rate,insertion_rate_ci_lower,insertion_rate_ci_upper
hmi,whisper,A1,1,234,0.594017,0.478182,0.709852,0.337607,0.276885,0.398328,0.004274,0.0,0.01265,0.252137,0.173338,0.330935
hmi,whisper,A1,2,269,0.468401,0.405402,0.531401,0.314126,0.270813,0.35744,0.066914,0.046533,0.087296,0.087361,0.053752,0.120969
hmi,whisper,A1,3,270,0.377778,0.329952,0.425604,0.248148,0.213747,0.282549,0.059259,0.041204,0.077314,0.07037,0.051134,0.089607
hmi,whisper,A1,4,195,0.34359,0.298546,0.388633,0.211538,0.178945,0.244132,0.088462,0.066415,0.110508,0.04359,0.025065,0.062115
hmi,whisper,A1,5,128,0.34375,0.296331,0.391169,0.189062,0.15339,0.224735,0.109375,0.078982,0.139768,0.045313,0.029506,0.061119
hmi,whisper,A1,6,75,0.313333,0.254517,0.37215,0.184444,0.138216,0.230673,0.108889,0.070415,0.147363,0.02,0.004861,0.035139
hmi,whisper,A1,7,42,0.428571,0.347602,0.509541,0.214286,0.142718,0.285853,0.207483,0.141923,0.273043,0.006803,0.0,0.016115
hmi,whisper,A1,8,16,0.453125,0.366866,0.539384,0.109375,0.039093,0.179657,0.328125,0.221156,0.435094,0.015625,0.0,0.036546
hmi,whisper,A1,9,5,0.555555,0.131028,0.980082,0.355555,0.029615,0.681495,0.066667,0.0,0.153778,0.133333,0.006348,0.260318
hmi,whisper,A1,10,3,0.466667,0.181885,0.751448,0.033333,0.0,0.098667,0.433333,0.148552,0.718115,0.0,0.0,0.0
hmi,whisper,A1,12,3,0.583333,0.333838,0.832829,0.027778,0.0,0.082222,0.555556,0.359254,0.751858,0.0,0.0,0.0
hmi,whisper,A2,1,510,0.678431,0.600989,0.755874,0.407843,0.36515,0.450537,0.009804,0.001244,0.018364,0.260784,0.206338,0.315231
hmi,whisper,A2,2,618,0.529126,0.481412,0.576841,0.317961,0.288823,0.347099,0.064725,0.051292,0.078158,0.14644,0.118498,0.174382
hmi,whisper,A2,3,631,0.381405,0.348705,0.414105,0.255151,0.231447,0.278854,0.041733,0.032173,0.051292,0.084522,0.069172,0.099871
hmi,whisper,A2,4,435,0.345977,0.313943,0.378011,0.227011,0.202091,0.251932,0.071264,0.057331,0.085198,0.047701,0.035918,0.059484
hmi,whisper,A2,5,311,0.353698,0.317341,0.390055,0.220579,0.193658,0.2475,0.07717,0.062142,0.092199,0.055949,0.043157,0.06874
hmi,whisper,A2,6,183,0.347905,0.305524,0.390286,0.204918,0.174522,0.235314,0.102914,0.079906,0.125923,0.040073,0.028278,0.051868
hmi,whisper,A2,7,120,0.347619,0.297613,0.397625,0.198809,0.162315,0.235304,0.114286,0.08849,0.140081,0.034524,0.020863,0.048185
hmi,whisper,A2,8,48,0.398438,0.309796,0.487079,0.210938,0.140909,0.280966,0.148438,0.101924,0.194951,0.039062,0.014697,0.063428
hmi,whisper,A2,9,21,0.433862,0.303798,0.563927,0.259259,0.165008,0.35351,0.15873,0.087332,0.230128,0.015873,0.0,0.038593
hmi,whisper,A2,10,13,0.223077,0.136686,0.309468,0.076923,0.017565,0.136281,0.115385,0.049378,0.181391,0.030769,0.004655,0.056883
hmi,whisper,A2,11,3,0.151515,0.0,0.308656,0.090909,0.0,0.193782,0.030303,0.0,0.089697,0.030303,0.0,0.089697
hmi,whisper,A2,12,1,0.75,0.75,0.75,0.333333,0.333333,0.333333,0.416667,0.416667,0.416667,0.0,0.0,0.0
hmi,whisper,B1,1,369,0.509485,0.432002,0.586969,0.289973,0.243612,0.336333,0.01626,0.003338,0.029182,0.203252,0.152303,0.254201
hmi,whisper,B1,2,375,0.368,0.31829,0.41771,0.242667,0.208581,0.276753,0.053333,0.037691,0.068976,0.072,0.048856,0.095144
hmi,whisper,B1,3,372,0.325269,0.286229,0.364308,0.208781,0.181139,0.236424,0.054659,0.040924,0.068395,0.061828,0.044049,0.079607
hmi,whisper,B1,4,277,0.323105,0.28496,0.36125,0.194946,0.165315,0.224577,0.0713,0.054075,0.088524,0.056859,0.041752,0.071966
hmi,whisper,B1,5,179,0.275978,0.2343,0.317655,0.163128,0.133427,0.19283,0.07486,0.056236,0.093485,0.037989,0.024179,0.051798
hmi,whisper,B1,6,129,0.333333,0.290191,0.376475,0.197674,0.163047,0.232302,0.103359,0.080566,0.126152,0.0323,0.016597,0.048003
hmi,whisper,B1,7,60,0.352381,0.270202,0.43456,0.209524,0.143482,0.275565,0.102381,0.067106,0.137655,0.040476,0.017333,0.063619
hmi,whisper,B1,8,31,0.362903,0.250226,0.475581,0.197581,0.115829,0.279332,0.120968,0.070817,0.171118,0.044355,0.011136,0.077573
hmi,whisper,B1,9,17,0.307189,0.229004,0.385375,0.150327,0.080601,0.220052,0.111111,0.052058,0.170164,0.045752,0.013091,0.078412
hmi,whisper,B1,10,2,0.15,0.052,0.248,0.1,0.0,0.296,0.05,0.0,0.148,0.0,0.0,0.0
hmi,whisper,B1,12,1,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0
