speech,model,cef,utterance_length,utterance_count,deletion_rate,deletion_rate_ci_lower,deletion_rate_ci_upper
hmi,whisper,A1,1,234,0.004274,0.0,0.01265
hmi,whisper,A1,2,269,0.066914,0.046533,0.087296
hmi,whisper,A1,3,270,0.059259,0.041204,0.077314
hmi,whisper,A1,4,195,0.088462,0.066415,0.110508
hmi,whisper,A1,5,128,0.109375,0.078982,0.139768
hmi,whisper,A1,6,75,0.108889,0.070415,0.147363
hmi,whisper,A1,7,42,0.207483,0.141923,0.273043
hmi,whisper,A1,8,16,0.328125,0.221156,0.435094
hmi,whisper,A1,9,5,0.066667,0.0,0.153778
hmi,whisper,A1,10,3,0.433333,0.148552,0.718115
hmi,whisper,A1,12,3,0.555556,0.359254,0.751858
hmi,whisper,A2,1,510,0.009804,0.001244,0.018364
hmi,whisper,A2,2,618,0.064725,0.051292,0.078158
hmi,whisper,A2,3,631,0.041733,0.032173,0.051292
hmi,whisper,A2,4,435,0.071264,0.057331,0.085198
hmi,whisper,A2,5,311,0.07717,0.062142,0.092199
hmi,whisper,A2,6,183,0.102914,0.079906,0.125923
hmi,whisper,A2,7,120,0.114286,0.08849,0.140081
hmi,whisper,A2,8,48,0.148438,0.101924,0.194951
hmi,whisper,A2,9,21,0.15873,0.087332,0.230128
hmi,whisper,A2,10,13,0.115385,0.049378,0.181391
hmi,whisper,A2,11,3,0.030303,0.0,0.089697
hmi,whisper,A2,12,1,0.416667,0.416667,0.416667
hmi,whisper,B1,1,369,0.01626,0.003338,0.029182
hmi,whisper,B1,2,375,0.053333,0.037691,0.068976
hmi,whisper,B1,3,372,0.054659,0.040924,0.068395
hmi,whisper,B1,4,277,0.0713,0.054075,0.088524
hmi,whisper,B1,5,179,0.07486,0.056236,0.093485
hmi,whisper,B1,6,129,0.103359,0.080566,0.126152
hmi,whisper,B1,7,60,0.102381,0.067106,0.137655
hmi,whisper,B1,8,31,0.120968,0.070817,0.171118
hmi,whisper,B1,9,17,0.111111,0.052058,0.170164
hmi,whisper,B1,10,2,0.05,0.0,0.148
hmi,whisper,B1,12,1,0.25,0.25,0.25
