speech,model,cef,utterance_length,utterance_count,insertion_rate,insertion_rate_ci_lower,insertion_rate_ci_upper
hmi,whisper,A1,1,234,0.252137,0.173338,0.330935
hmi,whisper,A1,2,269,0.087361,0.053752,0.120969
hmi,whisper,A1,3,270,0.07037,0.051134,0.089607
hmi,whisper,A1,4,195,0.04359,0.025065,0.062115
hmi,whisper,A1,5,128,0.045313,0.029506,0.061119
hmi,whisper,A1,6,75,0.02,0.004861,0.035139
hmi,whisper,A1,7,42,0.006803,0.0,0.016115
hmi,whisper,A1,8,16,0.015625,0.0,0.036546
hmi,whisper,A1,9,5,0.133333,0.006348,0.260318
hmi,whisper,A1,10,3,0.0,0.0,0.0
hmi,whisper,A1,12,3,0.0,0.0,0.0
hmi,whisper,A2,1,510,0.260784,0.206338,0.315231
hmi,whisper,A2,2,618,0.14644,0.118498,0.174382
hmi,whisper,A2,3,631,0.084522,0.069172,0.099871
hmi,whisper,A2,4,435,0.047701,0.035918,0.059484
hmi,whisper,A2,5,311,0.055949,0.043157,0.06874
hmi,whisper,A2,6,183,0.040073,0.028278,0.051868
hmi,whisper,A2,7,120,0.034524,0.020863,0.048185
hmi,whisper,A2,8,48,0.039062,0.014697,0.063428
hmi,whisper,A2,9,21,0.015873,0.0,0.038593
hmi,whisper,A2,10,13,0.030769,0.004655,0.056883
hmi,whisper,A2,11,3,0.030303,0.0,0.089697
hmi,whisper,A2,12,1,0.0,0.0,0.0
hmi,whisper,B1,1,369,0.203252,0.152303,0.254201
hmi,whisper,B1,2,375,0.072,0.048856,0.095144
hmi,whisper,B1,3,372,0.061828,0.044049,0.079607
hmi,whisper,B1,4,277,0.056859,0.041752,0.071966
hmi,whisper,B1,5,179,0.037989,0.024179,0.051798
hmi,whisper,B1,6,129,0.0323,0.016597,0.048003
hmi,whisper,B1,7,60,0.040476,0.017333,0.063619
hmi,whisper,B1,8,31,0.044355,0.011136,0.077573
hmi,whisper,B1,9,17,0.045752,0.013091,0.078412
hmi,whisper,B1,10,2,0.0,0.0,0.0
hmi,whisper,B1,12,1,0.0,0.0,0.0
