speech,model,cef,utterance_length,utterance_count,substitution_rate,substitution_rate_ci_lower,substitution_rate_ci_upper
hmi,whisper,A1,1,234,0.337607,0.276885,0.398328
hmi,whisper,A1,2,269,0.314126,0.270813,0.35744
hmi,whisper,A1,3,270,0.248148,0.213747,0.282549
hmi,whisper,A1,4,195,0.211538,0.178945,0.244132
hmi,whisper,A1,5,128,0.189062,0.15339,0.224735
hmi,whisper,A1,6,75,0.184444,0.138216,0.230673
hmi,whisper,A1,7,42,0.214286,0.142718,0.285853
hmi,whisper,A1,8,16,0.109375,0.039093,0.179657
hmi,whisper,A1,9,5,0.355555,0.029615,0.681495
hmi,whisper,A1,10,3,0.033333,0.0,0.098667
hmi,whisper,A1,12,3,0.027778,0.0,0.082222
hmi,whisper,A2,1,510,0.407843,0.36515,0.450537
hmi,whisper,A2,2,618,0.317961,0.288823,0.347099
hmi,whisper,A2,3,631,0.255151,0.231447,0.278854
hmi,whisper,A2,4,435,0.227011,0.202091,0.251932
hmi,whisper,A2,5,311,0.220579,0.193658,0.2475
hmi,whisper,A2,6,183,0.204918,0.174522,0.235314
hmi,whisper,A2,7,120,0.198809,0.162315,0.235304
hmi,whisper,A2,8,48,0.210938,0.140909,0.280966
hmi,whisper,A2,9,21,0.259259,0.165008,0.35351
hmi,whisper,A2,10,13,0.076923,0.017565,0.136281
hmi,whisper,A2,11,3,0.090909,0.0,0.193782
hmi,whisper,A2,12,1,0.333333,0.333333,0.333333
hmi,whisper,B1,1,369,0.289973,0.243612,0.336333
hmi,whisper,B1,2,375,0.242667,0.208581,0.276753
hmi,whisper,B1,3,372,0.208781,0.181139,0.236424
hmi,whisper,B1,4,277,0.194946,0.165315,0.224577
hmi,whisper,B1,5,179,0.163128,0.133427,0.19283
hmi,whisper,B1,6,129,0.197674,0.163047,0.232302
hmi,whisper,B1,7,60,0.209524,0.143482,0.275565
hmi,whisper,B1,8,31,0.197581,0.115829,0.279332
hmi,whisper,B1,9,17,0.150327,0.080601,0.220052
hmi,whisper,B1,10,2,0.1,0.0,0.296
hmi,whisper,B1,12,1,0.0,0.0,0.0
