speech,model,cef,utterance_length,utterance_count,average_wer,average_wer_ci_lower,average_wer_ci_upper
read,chirp,A1,1,258,0.717054,0.624974,0.809135
read,chirp,A1,2,462,0.451299,0.406927,0.49567
read,chirp,A1,3,579,0.356937,0.326673,0.387201
read,chirp,A1,4,563,0.240675,0.215879,0.265471
read,chirp,A1,5,339,0.221829,0.193346,0.250312
read,chirp,A1,6,197,0.178511,0.146061,0.210961
read,chirp,A1,7,80,0.132143,0.093956,0.170329
read,chirp,A1,8,17,0.198529,0.079578,0.317481
read,chirp,A1,9,9,0.296296,0.104234,0.488358
read,chirp,A2,1,696,0.666667,0.612118,0.721215
read,chirp,A2,2,1181,0.478831,0.451627,0.506036
read,chirp,A2,3,1447,0.320663,0.301894,0.339433
read,chirp,A2,4,1320,0.250379,0.23368,0.267077
read,chirp,A2,5,841,0.222592,0.204636,0.240548
read,chirp,A2,6,554,0.179302,0.160538,0.198066
read,chirp,A2,7,233,0.129368,0.106143,0.152594
read,chirp,A2,8,140,0.139286,0.113583,0.164988
read,chirp,A2,9,31,0.154122,0.087377,0.220866
read,chirp,A2,10,18,0.027778,0.006486,0.04907
read,chirp,A2,11,2,0.090909,0.090909,0.090909
read,chirp,A2,13,1,0.076923,0.076923,0.076923
read,chirp,B1,1,134,0.843284,0.678672,1.007895
read,chirp,B1,2,258,0.468992,0.411399,0.526586
read,chirp,B1,3,331,0.347432,0.304877,0.389987
read,chirp,B1,4,403,0.272333,0.240475,0.30419
read,chirp,B1,5,286,0.223776,0.194011,0.253542
read,chirp,B1,6,255,0.183007,0.153778,0.212235
read,chirp,B1,7,163,0.170903,0.139901,0.201905
read,chirp,B1,8,71,0.121479,0.087085,0.155872
read,chirp,B1,9,18,0.148148,0.082271,0.214025
read,chirp,B1,10,21,0.152381,0.072801,0.231961
read,chirp,B1,11,3,0.121212,0.0,0.358788
