speech,model,cef,utterance_length,utterance_count,average_wer,average_wer_ci_lower,average_wer_ci_upper,substitution_rate,substitution_rate_ci_lower,substitution_rate_ci_upper,deletion_rate,deletion_rate_ci_lower,deletion_rate_ci_upper,insertion_rate,insertion_rate_ci_lower,insertion_rate_ci_upper
read,chirp,A1,1,258,0.717054,0.624974,0.809135,0.546512,0.485646,0.607377,0.003876,0.0,0.011473,0.166667,0.115135,0.218198
read,chirp,A1,2,462,0.451299,0.406927,0.49567,0.314935,0.284331,0.345539,0.077922,0.061367,0.094477,0.058442,0.040213,0.07667
read,chirp,A1,3,579,0.356937,0.326673,0.387201,0.251583,0.229884,0.273283,0.069085,0.055293,0.082876,0.036269,0.025666,0.046872
read,chirp,A1,4,563,0.240675,0.215879,0.265471,0.180284,0.161415,0.199154,0.043517,0.032957,0.054076,0.016874,0.011267,0.022481
read,chirp,A1,5,339,0.221829,0.193346,0.250312,0.153982,0.132627,0.175337,0.050147,0.036658,0.063637,0.017699,0.010075,0.025323
read,chirp,A1,6,197,0.178511,0.146061,0.210961,0.132826,0.10944,0.156211,0.041455,0.025613,0.057297,0.00423,0.00056,0.0079
read,chirp,A1,7,80,0.132143,0.093956,0.170329,0.098214,0.070664,0.125765,0.026786,0.010195,0.043376,0.007143,0.0,0.016979
read,chirp,A1,8,17,0.198529,0.079578,0.317481,0.147059,0.07664,0.217478,0.051471,0.0,0.121334,0.0,0.0,0.0
read,chirp,A1,9,9,0.296296,0.104234,0.488358,0.074074,0.0,0.155235,0.222222,0.023419,0.421025,0.0,0.0,0.0
read,chirp,A2,1,696,0.666667,0.612118,0.721215,0.531609,0.49451,0.568708,0.0,0.0,0.0,0.135057,0.104276,0.165839
read,chirp,A2,2,1181,0.478831,0.451627,0.506036,0.333192,0.313467,0.352917,0.093565,0.082438,0.104691,0.052075,0.041373,0.062776
read,chirp,A2,3,1447,0.320663,0.301894,0.339433,0.227828,0.213509,0.242146,0.067035,0.058775,0.075296,0.0258,0.020664,0.030937
read,chirp,A2,4,1320,0.250379,0.23368,0.267077,0.179356,0.166623,0.192089,0.053409,0.046022,0.060797,0.017614,0.013782,0.021445
read,chirp,A2,5,841,0.222592,0.204636,0.240548,0.160048,0.146543,0.173552,0.050416,0.04225,0.058582,0.012128,0.0084,0.015857
read,chirp,A2,6,554,0.179302,0.160538,0.198066,0.130566,0.116109,0.145022,0.039711,0.031914,0.047509,0.009025,0.005773,0.012278
read,chirp,A2,7,233,0.129368,0.106143,0.152594,0.096873,0.079636,0.11411,0.024525,0.014805,0.034244,0.007971,0.003112,0.012829
read,chirp,A2,8,140,0.139286,0.113583,0.164988,0.111607,0.089714,0.1335,0.025,0.01564,0.03436,0.002679,0.0,0.005688
read,chirp,A2,9,31,0.154122,0.087377,0.220866,0.096774,0.063674,0.129874,0.053763,0.002395,0.105132,0.003584,0.0,0.010609
read,chirp,A2,10,18,0.027778,0.006486,0.04907,0.022222,0.002459,0.041985,0.005556,0.0,0.016444,0.0,0.0,0.0
read,chirp,A2,11,2,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.0,0.0,0.0,0.0,0.0,0.0
read,chirp,A2,13,1,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923,0.0,0.0,0.0,0.0,0.0,0.0
read,chirp,B1,1,134,0.843284,0.678672,1.007895,0.544776,0.460141,0.629411,0.0,0.0,0.0,0.298507,0.186637,0.410378
read,chirp,B1,2,258,0.468992,0.411399,0.526586,0.356589,0.314077,0.399101,0.05814,0.038544,0.077736,0.054264,0.033087,0.07544
read,chirp,B1,3,331,0.347432,0.304877,0.389987,0.244713,0.214564,0.274862,0.053374,0.037744,0.069003,0.049345,0.033317,0.065374
read,chirp,B1,4,403,0.272333,0.240475,0.30419,0.192308,0.169418,0.215198,0.05335,0.040145,0.066554,0.026675,0.018204,0.035145
read,chirp,B1,5,286,0.223776,0.194011,0.253542,0.165734,0.14249,0.188979,0.03986,0.027919,0.051802,0.018182,0.010459,0.025905
read,chirp,B1,6,255,0.183007,0.153778,0.212235,0.136601,0.114754,0.158448,0.035294,0.023079,0.047509,0.011111,0.004096,0.018126
read,chirp,B1,7,163,0.170903,0.139901,0.201905,0.127081,0.102957,0.151205,0.030675,0.020125,0.041224,0.013146,0.004425,0.021868
read,chirp,B1,8,71,0.121479,0.087085,0.155872,0.102113,0.073747,0.130478,0.017606,0.005274,0.029937,0.001761,0.0,0.005211
read,chirp,B1,9,18,0.148148,0.082271,0.214025,0.123457,0.065359,0.181554,0.024691,0.002732,0.04665,0.0,0.0,0.0
read,chirp,B1,10,21,0.152381,0.072801,0.231961,0.12381,0.060508,0.187111,0.02381,0.000758,0.046861,0.004762,0.0,0.014095
read,chirp,B1,11,3,0.121212,0.0,0.358788,0.090909,0.0,0.269091,0.030303,0.0,0.089697,0.0,0.0,0.0
