speech,model,cef,utterance_length,utterance_count,deletion_rate,deletion_rate_ci_lower,deletion_rate_ci_upper
read,chirp,A1,1,258,0.003876,0.0,0.011473
read,chirp,A1,2,462,0.077922,0.061367,0.094477
read,chirp,A1,3,579,0.069085,0.055293,0.082876
read,chirp,A1,4,563,0.043517,0.032957,0.054076
read,chirp,A1,5,339,0.050147,0.036658,0.063637
read,chirp,A1,6,197,0.041455,0.025613,0.057297
read,chirp,A1,7,80,0.026786,0.010195,0.043376
read,chirp,A1,8,17,0.051471,0.0,0.121334
read,chirp,A1,9,9,0.222222,0.023419,0.421025
read,chirp,A2,1,696,0.0,0.0,0.0
read,chirp,A2,2,1181,0.093565,0.082438,0.104691
read,chirp,A2,3,1447,0.067035,0.058775,0.075296
read,chirp,A2,4,1320,0.053409,0.046022,0.060797
read,chirp,A2,5,841,0.050416,0.04225,0.058582
read,chirp,A2,6,554,0.039711,0.031914,0.047509
read,chirp,A2,7,233,0.024525,0.014805,0.034244
read,chirp,A2,8,140,0.025,0.01564,0.03436
read,chirp,A2,9,31,0.053763,0.002395,0.105132
read,chirp,A2,10,18,0.005556,0.0,0.016444
read,chirp,A2,11,2,0.0,0.0,0.0
read,chirp,A2,13,1,0.0,0.0,0.0
read,chirp,B1,1,134,0.0,0.0,0.0
read,chirp,B1,2,258,0.05814,0.038544,0.077736
read,chirp,B1,3,331,0.053374,0.037744,0.069003
read,chirp,B1,4,403,0.05335,0.040145,0.066554
read,chirp,B1,5,286,0.03986,0.027919,0.051802
read,chirp,B1,6,255,0.035294,0.023079,0.047509
read,chirp,B1,7,163,0.030675,0.020125,0.041224
read,chirp,B1,8,71,0.017606,0.005274,0.029937
read,chirp,B1,9,18,0.024691,0.002732,0.04665
read,chirp,B1,10,21,0.02381,0.000758,0.046861
read,chirp,B1,11,3,0.030303,0.0,0.089697
