speech,model,cef,utterance_length,utterance_count,insertion_rate,insertion_rate_ci_lower,insertion_rate_ci_upper
read,chirp,A1,1,258,0.166667,0.115135,0.218198
read,chirp,A1,2,462,0.058442,0.040213,0.07667
read,chirp,A1,3,579,0.036269,0.025666,0.046872
read,chirp,A1,4,563,0.016874,0.011267,0.022481
read,chirp,A1,5,339,0.017699,0.010075,0.025323
read,chirp,A1,6,197,0.00423,0.00056,0.0079
read,chirp,A1,7,80,0.007143,0.0,0.016979
read,chirp,A1,8,17,0.0,0.0,0.0
read,chirp,A1,9,9,0.0,0.0,0.0
read,chirp,A2,1,696,0.135057,0.104276,0.165839
read,chirp,A2,2,1181,0.052075,0.041373,0.062776
read,chirp,A2,3,1447,0.0258,0.020664,0.030937
read,chirp,A2,4,1320,0.017614,0.013782,0.021445
read,chirp,A2,5,841,0.012128,0.0084,0.015857
read,chirp,A2,6,554,0.009025,0.005773,0.012278
read,chirp,A2,7,233,0.007971,0.003112,0.012829
read,chirp,A2,8,140,0.002679,0.0,0.005688
read,chirp,A2,9,31,0.003584,0.0,0.010609
read,chirp,A2,10,18,0.0,0.0,0.0
read,chirp,A2,11,2,0.0,0.0,0.0
read,chirp,A2,13,1,0.0,0.0,0.0
read,chirp,B1,1,134,0.298507,0.186637,0.410378
read,chirp,B1,2,258,0.054264,0.033087,0.07544
read,chirp,B1,3,331,0.049345,0.033317,0.065374
read,chirp,B1,4,403,0.026675,0.018204,0.035145
read,chirp,B1,5,286,0.018182,0.010459,0.025905
read,chirp,B1,6,255,0.011111,0.004096,0.018126
read,chirp,B1,7,163,0.013146,0.004425,0.021868
read,chirp,B1,8,71,0.001761,0.0,0.005211
read,chirp,B1,9,18,0.0,0.0,0.0
read,chirp,B1,10,21,0.004762,0.0,0.014095
read,chirp,B1,11,3,0.0,0.0,0.0
