speech,model,cef,utterance_length,utterance_count,substitution_rate,substitution_rate_ci_lower,substitution_rate_ci_upper
read,chirp,A1,1,258,0.546512,0.485646,0.607377
read,chirp,A1,2,462,0.314935,0.284331,0.345539
read,chirp,A1,3,579,0.251583,0.229884,0.273283
read,chirp,A1,4,563,0.180284,0.161415,0.199154
read,chirp,A1,5,339,0.153982,0.132627,0.175337
read,chirp,A1,6,197,0.132826,0.10944,0.156211
read,chirp,A1,7,80,0.098214,0.070664,0.125765
read,chirp,A1,8,17,0.147059,0.07664,0.217478
read,chirp,A1,9,9,0.074074,0.0,0.155235
read,chirp,A2,1,696,0.531609,0.49451,0.568708
read,chirp,A2,2,1181,0.333192,0.313467,0.352917
read,chirp,A2,3,1447,0.227828,0.213509,0.242146
read,chirp,A2,4,1320,0.179356,0.166623,0.192089
read,chirp,A2,5,841,0.160048,0.146543,0.173552
read,chirp,A2,6,554,0.130566,0.116109,0.145022
read,chirp,A2,7,233,0.096873,0.079636,0.11411
read,chirp,A2,8,140,0.111607,0.089714,0.1335
read,chirp,A2,9,31,0.096774,0.063674,0.129874
read,chirp,A2,10,18,0.022222,0.002459,0.041985
read,chirp,A2,11,2,0.090909,0.090909,0.090909
read,chirp,A2,13,1,0.076923,0.076923,0.076923
read,chirp,B1,1,134,0.544776,0.460141,0.629411
read,chirp,B1,2,258,0.356589,0.314077,0.399101
read,chirp,B1,3,331,0.244713,0.214564,0.274862
read,chirp,B1,4,403,0.192308,0.169418,0.215198
read,chirp,B1,5,286,0.165734,0.14249,0.188979
read,chirp,B1,6,255,0.136601,0.114754,0.158448
read,chirp,B1,7,163,0.127081,0.102957,0.151205
read,chirp,B1,8,71,0.102113,0.073747,0.130478
read,chirp,B1,9,18,0.123457,0.065359,0.181554
read,chirp,B1,10,21,0.12381,0.060508,0.187111
read,chirp,B1,11,3,0.090909,0.0,0.269091
