speech,model,cef,utterance_length,utterance_count,average_wer,average_wer_ci_lower,average_wer_ci_upper
read,whisper,A1,1,258,0.899225,0.779506,1.018943
read,whisper,A1,2,462,0.50974,0.466386,0.553094
read,whisper,A1,3,579,0.401267,0.371175,0.431358
read,whisper,A1,4,563,0.28952,0.264592,0.314449
read,whisper,A1,5,339,0.237758,0.211505,0.264011
read,whisper,A1,6,197,0.21066,0.176417,0.244903
read,whisper,A1,7,80,0.198214,0.158213,0.238215
read,whisper,A1,8,17,0.176471,0.094945,0.257996
read,whisper,A1,9,9,0.271605,0.027822,0.515388
read,whisper,A2,1,696,0.826149,0.756549,0.89575
read,whisper,A2,2,1181,0.547417,0.518027,0.576808
read,whisper,A2,3,1447,0.350841,0.331668,0.370014
read,whisper,A2,4,1320,0.302273,0.284957,0.319589
read,whisper,A2,5,841,0.256361,0.237312,0.275411
read,whisper,A2,6,554,0.218712,0.198226,0.239199
read,whisper,A2,7,233,0.175352,0.151118,0.199587
read,whisper,A2,8,140,0.165179,0.13453,0.195827
read,whisper,A2,9,31,0.222222,0.153726,0.290718
read,whisper,A2,10,18,0.105556,0.045275,0.165836
read,whisper,A2,11,2,0.045455,0.0,0.134545
read,whisper,A2,13,1,0.230769,0.230769,0.230769
read,whisper,B1,1,134,1.044776,0.836248,1.253304
read,whisper,B1,2,258,0.552326,0.485082,0.619569
read,whisper,B1,3,331,0.350453,0.31181,0.389096
read,whisper,B1,4,403,0.299628,0.26774,0.331516
read,whisper,B1,5,286,0.262937,0.229822,0.296052
read,whisper,B1,6,255,0.187582,0.161152,0.214011
read,whisper,B1,7,163,0.17879,0.147268,0.210313
read,whisper,B1,8,71,0.15669,0.116246,0.197134
read,whisper,B1,9,18,0.197531,0.128091,0.266971
read,whisper,B1,10,21,0.166667,0.068822,0.264511
read,whisper,B1,11,3,0.030303,0.0,0.089697
