speech,model,cef,utterance_length,utterance_count,average_wer,average_wer_ci_lower,average_wer_ci_upper,substitution_rate,substitution_rate_ci_lower,substitution_rate_ci_upper,deletion_rate,deletion_rate_ci_lower,deletion_rate_ci_upper,insertion_rate,insertion_rate_ci_lower,insertion_rate_ci_upper
read,whisper,A1,1,258,0.899225,0.779506,1.018943,0.593023,0.53296,0.653087,0.0,0.0,0.0,0.306202,0.222539,0.389864
read,whisper,A1,2,462,0.50974,0.466386,0.553094,0.364719,0.33386,0.395578,0.061688,0.046678,0.076699,0.083333,0.064085,0.102582
read,whisper,A1,3,579,0.401267,0.371175,0.431358,0.284974,0.262223,0.307725,0.067357,0.054414,0.080301,0.048935,0.037062,0.060808
read,whisper,A1,4,563,0.28952,0.264592,0.314449,0.215364,0.196255,0.234473,0.049734,0.039146,0.060321,0.024423,0.017584,0.031261
read,whisper,A1,5,339,0.237758,0.211505,0.264011,0.169912,0.149282,0.190541,0.053687,0.040866,0.066508,0.014159,0.00822,0.020098
read,whisper,A1,6,197,0.21066,0.176417,0.244903,0.146362,0.12221,0.170515,0.054146,0.038096,0.070195,0.010152,0.003656,0.016648
read,whisper,A1,7,80,0.198214,0.158213,0.238215,0.151786,0.118617,0.184954,0.035714,0.019574,0.051854,0.010714,0.001037,0.020392
read,whisper,A1,8,17,0.176471,0.094945,0.257996,0.110294,0.05518,0.165409,0.051471,0.0,0.103183,0.014706,0.0,0.03444
read,whisper,A1,9,9,0.271605,0.027822,0.515388,0.049383,0.0,0.10212,0.222222,0.00144,0.443004,0.0,0.0,0.0
read,whisper,A2,1,696,0.826149,0.756549,0.89575,0.54454,0.507514,0.581566,0.005747,0.000127,0.011367,0.275862,0.228956,0.322768
read,whisper,A2,2,1181,0.547417,0.518027,0.576808,0.375529,0.355419,0.395639,0.080017,0.069297,0.090737,0.091871,0.076995,0.106748
read,whisper,A2,3,1447,0.350841,0.331668,0.370014,0.249712,0.235316,0.264108,0.059433,0.051558,0.067308,0.041695,0.034722,0.048669
read,whisper,A2,4,1320,0.302273,0.284957,0.319589,0.214394,0.201395,0.227392,0.056061,0.048806,0.063315,0.031818,0.026277,0.037359
read,whisper,A2,5,841,0.256361,0.237312,0.275411,0.17931,0.165491,0.19313,0.051367,0.042992,0.059743,0.025684,0.019856,0.031511
read,whisper,A2,6,554,0.218712,0.198226,0.239199,0.15343,0.138634,0.168226,0.047232,0.037173,0.057292,0.018051,0.01313,0.022971
read,whisper,A2,7,233,0.175352,0.151118,0.199587,0.129368,0.110406,0.148331,0.033108,0.023215,0.043002,0.012876,0.006841,0.01891
read,whisper,A2,8,140,0.165179,0.13453,0.195827,0.122321,0.098181,0.146462,0.040179,0.025428,0.054929,0.002679,0.0,0.005688
read,whisper,A2,9,31,0.222222,0.153726,0.290718,0.154122,0.097281,0.210963,0.060932,0.029254,0.09261,0.007168,0.0,0.016936
read,whisper,A2,10,18,0.105556,0.045275,0.165836,0.083333,0.035141,0.131526,0.016667,0.0,0.034383,0.005556,0.0,0.016444
read,whisper,A2,11,2,0.045455,0.0,0.134545,0.045455,0.0,0.134545,0.0,0.0,0.0,0.0,0.0,0.0
read,whisper,A2,13,1,0.230769,0.230769,0.230769,0.230769,0.230769,0.230769,0.0,0.0,0.0,0.0,0.0,0.0
read,whisper,B1,1,134,1.044776,0.836248,1.253304,0.574627,0.490602,0.658652,0.0,0.0,0.0,0.470149,0.309734,0.630564
read,whisper,B1,2,258,0.552326,0.485082,0.619569,0.387597,0.343057,0.432137,0.044574,0.027154,0.061993,0.120155,0.081888,0.158422
read,whisper,B1,3,331,0.350453,0.31181,0.389096,0.258812,0.229795,0.287828,0.043303,0.029407,0.057199,0.048338,0.034495,0.062182
read,whisper,B1,4,403,0.299628,0.26774,0.331516,0.206576,0.183871,0.229281,0.054591,0.041662,0.067519,0.038462,0.027816,0.049107
read,whisper,B1,5,286,0.262937,0.229822,0.296052,0.199301,0.173141,0.22546,0.038462,0.027789,0.049134,0.025175,0.016333,0.034017
read,whisper,B1,6,255,0.187582,0.161152,0.214011,0.130065,0.109864,0.150267,0.040523,0.027501,0.053545,0.016993,0.009807,0.02418
read,whisper,B1,7,163,0.17879,0.147268,0.210313,0.130587,0.10617,0.155004,0.038563,0.026364,0.050762,0.009641,0.003608,0.015673
read,whisper,B1,8,71,0.15669,0.116246,0.197134,0.119718,0.085162,0.154275,0.02993,0.014809,0.04505,0.007042,0.00029,0.013794
read,whisper,B1,9,18,0.197531,0.128091,0.266971,0.141975,0.086843,0.197107,0.055556,0.023815,0.087296,0.0,0.0,0.0
read,whisper,B1,10,21,0.166667,0.068822,0.264511,0.147619,0.061418,0.23382,0.019048,0.0,0.040936,0.0,0.0,0.0
read,whisper,B1,11,3,0.030303,0.0,0.089697,0.030303,0.0,0.089697,0.0,0.0,0.0,0.0,0.0,0.0
