speech,model,cef,utterance_length,utterance_count,deletion_rate,deletion_rate_ci_lower,deletion_rate_ci_upper
read,whisper,A1,1,258,0.0,0.0,0.0
read,whisper,A1,2,462,0.061688,0.046678,0.076699
read,whisper,A1,3,579,0.067357,0.054414,0.080301
read,whisper,A1,4,563,0.049734,0.039146,0.060321
read,whisper,A1,5,339,0.053687,0.040866,0.066508
read,whisper,A1,6,197,0.054146,0.038096,0.070195
read,whisper,A1,7,80,0.035714,0.019574,0.051854
read,whisper,A1,8,17,0.051471,0.0,0.103183
read,whisper,A1,9,9,0.222222,0.00144,0.443004
read,whisper,A2,1,696,0.005747,0.000127,0.011367
read,whisper,A2,2,1181,0.080017,0.069297,0.090737
read,whisper,A2,3,1447,0.059433,0.051558,0.067308
read,whisper,A2,4,1320,0.056061,0.048806,0.063315
read,whisper,A2,5,841,0.051367,0.042992,0.059743
read,whisper,A2,6,554,0.047232,0.037173,0.057292
read,whisper,A2,7,233,0.033108,0.023215,0.043002
read,whisper,A2,8,140,0.040179,0.025428,0.054929
read,whisper,A2,9,31,0.060932,0.029254,0.09261
read,whisper,A2,10,18,0.016667,0.0,0.034383
read,whisper,A2,11,2,0.0,0.0,0.0
read,whisper,A2,13,1,0.0,0.0,0.0
read,whisper,B1,1,134,0.0,0.0,0.0
read,whisper,B1,2,258,0.044574,0.027154,0.061993
read,whisper,B1,3,331,0.043303,0.029407,0.057199
read,whisper,B1,4,403,0.054591,0.041662,0.067519
read,whisper,B1,5,286,0.038462,0.027789,0.049134
read,whisper,B1,6,255,0.040523,0.027501,0.053545
read,whisper,B1,7,163,0.038563,0.026364,0.050762
read,whisper,B1,8,71,0.02993,0.014809,0.04505
read,whisper,B1,9,18,0.055556,0.023815,0.087296
read,whisper,B1,10,21,0.019048,0.0,0.040936
read,whisper,B1,11,3,0.0,0.0,0.0
