speech,model,cef,utterance_length,utterance_count,insertion_rate,insertion_rate_ci_lower,insertion_rate_ci_upper
read,whisper,A1,1,258,0.306202,0.222539,0.389864
read,whisper,A1,2,462,0.083333,0.064085,0.102582
read,whisper,A1,3,579,0.048935,0.037062,0.060808
read,whisper,A1,4,563,0.024423,0.017584,0.031261
read,whisper,A1,5,339,0.014159,0.00822,0.020098
read,whisper,A1,6,197,0.010152,0.003656,0.016648
read,whisper,A1,7,80,0.010714,0.001037,0.020392
read,whisper,A1,8,17,0.014706,0.0,0.03444
read,whisper,A1,9,9,0.0,0.0,0.0
read,whisper,A2,1,696,0.275862,0.228956,0.322768
read,whisper,A2,2,1181,0.091871,0.076995,0.106748
read,whisper,A2,3,1447,0.041695,0.034722,0.048669
read,whisper,A2,4,1320,0.031818,0.026277,0.037359
read,whisper,A2,5,841,0.025684,0.019856,0.031511
read,whisper,A2,6,554,0.018051,0.01313,0.022971
read,whisper,A2,7,233,0.012876,0.006841,0.01891
read,whisper,A2,8,140,0.002679,0.0,0.005688
read,whisper,A2,9,31,0.007168,0.0,0.016936
read,whisper,A2,10,18,0.005556,0.0,0.016444
read,whisper,A2,11,2,0.0,0.0,0.0
read,whisper,A2,13,1,0.0,0.0,0.0
read,whisper,B1,1,134,0.470149,0.309734,0.630564
read,whisper,B1,2,258,0.120155,0.081888,0.158422
read,whisper,B1,3,331,0.048338,0.034495,0.062182
read,whisper,B1,4,403,0.038462,0.027816,0.049107
read,whisper,B1,5,286,0.025175,0.016333,0.034017
read,whisper,B1,6,255,0.016993,0.009807,0.02418
read,whisper,B1,7,163,0.009641,0.003608,0.015673
read,whisper,B1,8,71,0.007042,0.00029,0.013794
read,whisper,B1,9,18,0.0,0.0,0.0
read,whisper,B1,10,21,0.0,0.0,0.0
read,whisper,B1,11,3,0.0,0.0,0.0
