speech,model,cef,utterance_length,utterance_count,proportion,percentage
read,whisper,A1,1,258,0.103035,10.304
read,whisper,A1,2,462,0.184505,18.45
read,whisper,A1,3,579,0.23123,23.123
read,whisper,A1,4,563,0.22484,22.484
read,whisper,A1,5,339,0.135383,13.538
read,whisper,A1,6,197,0.078674,7.867
read,whisper,A1,7,80,0.031949,3.195
read,whisper,A1,8,17,0.006789,0.679
read,whisper,A1,9,9,0.003594,0.359
read,whisper,A2,1,696,0.107673,10.767
read,whisper,A2,2,1181,0.182704,18.27
read,whisper,A2,3,1447,0.223855,22.386
read,whisper,A2,4,1320,0.204208,20.421
read,whisper,A2,5,841,0.130105,13.011
read,whisper,A2,6,554,0.085705,8.571
read,whisper,A2,7,233,0.036046,3.605
read,whisper,A2,8,140,0.021658,2.166
read,whisper,A2,9,31,0.004796,0.48
read,whisper,A2,10,18,0.002785,0.278
read,whisper,A2,11,2,0.000309,0.031
read,whisper,A2,13,1,0.000155,0.015
read,whisper,B1,1,134,0.068966,6.897
read,whisper,B1,2,258,0.132784,13.278
read,whisper,B1,3,331,0.170355,17.036
read,whisper,B1,4,403,0.207411,20.741
read,whisper,B1,5,286,0.147195,14.72
read,whisper,B1,6,255,0.13124,13.124
read,whisper,B1,7,163,0.083891,8.389
read,whisper,B1,8,71,0.036541,3.654
read,whisper,B1,9,18,0.009264,0.926
read,whisper,B1,10,21,0.010808,1.081
read,whisper,B1,11,3,0.001544,0.154
