speech,model,cef,utterance_length,utterance_count,substitution_rate,substitution_rate_ci_lower,substitution_rate_ci_upper
read,whisper,A1,1,258,0.593023,0.53296,0.653087
read,whisper,A1,2,462,0.364719,0.33386,0.395578
read,whisper,A1,3,579,0.284974,0.262223,0.307725
read,whisper,A1,4,563,0.215364,0.196255,0.234473
read,whisper,A1,5,339,0.169912,0.149282,0.190541
read,whisper,A1,6,197,0.146362,0.12221,0.170515
read,whisper,A1,7,80,0.151786,0.118617,0.184954
read,whisper,A1,8,17,0.110294,0.05518,0.165409
read,whisper,A1,9,9,0.049383,0.0,0.10212
read,whisper,A2,1,696,0.54454,0.507514,0.581566
read,whisper,A2,2,1181,0.375529,0.355419,0.395639
read,whisper,A2,3,1447,0.249712,0.235316,0.264108
read,whisper,A2,4,1320,0.214394,0.201395,0.227392
read,whisper,A2,5,841,0.17931,0.165491,0.19313
read,whisper,A2,6,554,0.15343,0.138634,0.168226
read,whisper,A2,7,233,0.129368,0.110406,0.148331
read,whisper,A2,8,140,0.122321,0.098181,0.146462
read,whisper,A2,9,31,0.154122,0.097281,0.210963
read,whisper,A2,10,18,0.083333,0.035141,0.131526
read,whisper,A2,11,2,0.045455,0.0,0.134545
read,whisper,A2,13,1,0.230769,0.230769,0.230769
read,whisper,B1,1,134,0.574627,0.490602,0.658652
read,whisper,B1,2,258,0.387597,0.343057,0.432137
read,whisper,B1,3,331,0.258812,0.229795,0.287828
read,whisper,B1,4,403,0.206576,0.183871,0.229281
read,whisper,B1,5,286,0.199301,0.173141,0.22546
read,whisper,B1,6,255,0.130065,0.109864,0.150267
read,whisper,B1,7,163,0.130587,0.10617,0.155004
read,whisper,B1,8,71,0.119718,0.085162,0.154275
read,whisper,B1,9,18,0.141975,0.086843,0.197107
read,whisper,B1,10,21,0.147619,0.061418,0.23382
read,whisper,B1,11,3,0.030303,0.0,0.089697
