speech,model,cef,error_type,pos_group,error_count,reference_count,category_error_rate,category_error_rate_ci_lower,category_error_rate_ci_upper
read,chirp,A1,deletion,open_class,246,4619,0.053258,0.046783,0.059734
read,chirp,A1,deletion,closed_class,158,4110,0.038443,0.032565,0.044321
read,chirp,A1,deletion,other,61,96,0.635417,0.539134,0.731699
read,chirp,A2,deletion,open_class,706,12410,0.05689,0.052814,0.060965
read,chirp,A2,deletion,closed_class,424,10865,0.039024,0.035383,0.042666
read,chirp,A2,deletion,other,92,178,0.516854,0.443442,0.590266
read,chirp,B1,deletion,open_class,173,4373,0.039561,0.033784,0.045338
read,chirp,B1,deletion,closed_class,134,3906,0.034306,0.028598,0.040014
read,chirp,B1,deletion,other,28,50,0.56,0.422409,0.697591
read,chirp,A1,substitution,open_class,1156,4619,0.250271,0.237778,0.262763
read,chirp,A1,substitution,closed_class,597,4110,0.145255,0.134483,0.156028
read,chirp,A1,substitution,other,21,96,0.21875,0.136053,0.301447
read,chirp,A2,substitution,open_class,3062,12410,0.246737,0.239151,0.254322
read,chirp,A2,substitution,closed_class,1375,10865,0.126553,0.120301,0.132805
read,chirp,A2,substitution,other,80,178,0.449438,0.376361,0.522516
read,chirp,B1,substitution,open_class,972,4373,0.222273,0.20995,0.234596
read,chirp,B1,substitution,closed_class,517,3906,0.13236,0.121733,0.142988
read,chirp,B1,substitution,other,19,50,0.38,0.245458,0.514542
read,whisper,A1,deletion,open_class,242,4619,0.052392,0.045966,0.058818
read,whisper,A1,deletion,closed_class,187,4110,0.045499,0.039128,0.05187
read,whisper,A1,deletion,other,57,96,0.59375,0.495503,0.691997
read,whisper,A2,deletion,open_class,684,12410,0.055117,0.051102,0.059132
read,whisper,A2,deletion,closed_class,462,10865,0.042522,0.038728,0.046316
read,whisper,A2,deletion,other,93,178,0.522472,0.449092,0.595852
read,whisper,B1,deletion,open_class,182,4373,0.041619,0.0357,0.047538
read,whisper,B1,deletion,closed_class,138,3906,0.03533,0.029541,0.04112
read,whisper,B1,deletion,other,25,50,0.5,0.361407,0.638593
read,whisper,A1,substitution,open_class,1387,4619,0.300281,0.287062,0.313501
read,whisper,A1,substitution,closed_class,617,4110,0.150122,0.139201,0.161042
read,whisper,A1,substitution,other,31,96,0.322917,0.229379,0.416454
read,whisper,A2,substitution,open_class,3562,12410,0.287027,0.279067,0.294986
read,whisper,A2,substitution,closed_class,1524,10865,0.140267,0.133737,0.146797
read,whisper,A2,substitution,other,70,178,0.393258,0.321498,0.465019
read,whisper,B1,substitution,open_class,1096,4373,0.250629,0.237784,0.263474
read,whisper,B1,substitution,closed_class,506,3906,0.129544,0.119013,0.140075
read,whisper,B1,substitution,other,21,50,0.42,0.283193,0.556807
hmi,chirp,A1,deletion,open_class,199,2268,0.087743,0.076099,0.099386
hmi,chirp,A1,deletion,closed_class,108,1646,0.065614,0.053652,0.077576
hmi,chirp,A1,deletion,other,46,71,0.647887,0.536786,0.758988
hmi,chirp,A2,deletion,open_class,314,5436,0.057763,0.051561,0.063965
hmi,chirp,A2,deletion,closed_class,315,4055,0.077682,0.069443,0.085921
hmi,chirp,A2,deletion,other,49,129,0.379845,0.296089,0.463601
hmi,chirp,B1,deletion,open_class,156,3066,0.050881,0.043102,0.058659
hmi,chirp,B1,deletion,closed_class,153,2735,0.055941,0.047329,0.064554
hmi,chirp,B1,deletion,other,24,64,0.375,0.25639,0.49361
hmi,chirp,A1,substitution,open_class,480,2268,0.21164,0.194829,0.228451
hmi,chirp,A1,substitution,closed_class,305,1646,0.185298,0.166527,0.204068
hmi,chirp,A1,substitution,other,21,71,0.295775,0.189614,0.401935
hmi,chirp,A2,substitution,open_class,1324,5436,0.243561,0.232151,0.254972
hmi,chirp,A2,substitution,closed_class,570,4055,0.140567,0.129869,0.151265
hmi,chirp,A2,substitution,other,63,129,0.488372,0.402111,0.574633
hmi,chirp,B1,substitution,open_class,655,3066,0.213633,0.199125,0.228142
hmi,chirp,B1,substitution,closed_class,401,2735,0.146618,0.133361,0.159875
hmi,chirp,B1,substitution,other,26,64,0.40625,0.285923,0.526577
hmi,whisper,A1,deletion,open_class,221,2268,0.097443,0.085237,0.109648
hmi,whisper,A1,deletion,closed_class,145,1646,0.088092,0.0744,0.101785
hmi,whisper,A1,deletion,other,46,71,0.647887,0.536786,0.758988
hmi,whisper,A2,deletion,open_class,353,5436,0.064937,0.058387,0.071488
hmi,whisper,A2,deletion,closed_class,328,4055,0.080888,0.072495,0.08928
hmi,whisper,A2,deletion,other,44,129,0.341085,0.259275,0.422895
hmi,whisper,B1,deletion,open_class,190,3066,0.06197,0.053436,0.070504
hmi,whisper,B1,deletion,closed_class,212,2735,0.077514,0.067492,0.087536
hmi,whisper,B1,deletion,other,25,64,0.390625,0.271092,0.510158
hmi,whisper,A1,substitution,open_class,558,2268,0.246032,0.228306,0.263758
hmi,whisper,A1,substitution,closed_class,336,1646,0.204131,0.184659,0.223603
hmi,whisper,A1,substitution,other,19,71,0.267606,0.164627,0.370584
hmi,whisper,A2,substitution,open_class,1577,5436,0.290103,0.278039,0.302167
hmi,whisper,A2,substitution,closed_class,716,4055,0.176572,0.164836,0.188309
hmi,whisper,A2,substitution,other,68,129,0.527132,0.440975,0.613289
hmi,whisper,B1,substitution,open_class,725,3066,0.236464,0.221424,0.251505
hmi,whisper,B1,substitution,closed_class,444,2735,0.16234,0.14852,0.176161
hmi,whisper,B1,substitution,other,30,64,0.46875,0.346489,0.591011
