speech,model,cef,source_pos,count,percentage
hmi,chirp,A1,ADJ,16,4.5326
hmi,chirp,A1,ADP,18,5.0992
hmi,chirp,A1,ADV,14,3.966
hmi,chirp,A1,AUX,11,3.1161
hmi,chirp,A1,CCONJ,7,1.983
hmi,chirp,A1,DET,28,7.932
hmi,chirp,A1,INTJ,15,4.2493
hmi,chirp,A1,NOUN,47,13.3144
hmi,chirp,A1,NUM,8,2.2663
hmi,chirp,A1,PRON,32,9.0652
hmi,chirp,A1,PROPN,78,22.0963
hmi,chirp,A1,SCONJ,4,1.1331
hmi,chirp,A1,SYM,45,12.7479
hmi,chirp,A1,VERB,29,8.2153
hmi,chirp,A1,X,1,0.2833
hmi,chirp,A2,ADJ,35,5.1622
hmi,chirp,A2,ADP,65,9.587
hmi,chirp,A2,ADV,58,8.5546
hmi,chirp,A2,AUX,31,4.5723
hmi,chirp,A2,CCONJ,39,5.7522
hmi,chirp,A2,DET,54,7.9646
hmi,chirp,A2,INTJ,19,2.8024
hmi,chirp,A2,NOUN,79,11.6519
hmi,chirp,A2,NUM,20,2.9499
hmi,chirp,A2,PRON,95,14.0118
hmi,chirp,A2,PROPN,40,5.8997
hmi,chirp,A2,SCONJ,11,1.6224
hmi,chirp,A2,SYM,48,7.0796
hmi,chirp,A2,VERB,83,12.2419
hmi,chirp,A2,X,1,0.1475
hmi,chirp,B1,ADJ,15,4.5045
hmi,chirp,B1,ADP,37,11.1111
hmi,chirp,B1,ADV,28,8.4084
hmi,chirp,B1,AUX,12,3.6036
hmi,chirp,B1,CCONJ,12,3.6036
hmi,chirp,B1,DET,35,10.5105
hmi,chirp,B1,INTJ,18,5.4054
hmi,chirp,B1,NOUN,46,13.8138
hmi,chirp,B1,NUM,5,1.5015
hmi,chirp,B1,PRON,50,15.015
hmi,chirp,B1,PROPN,21,6.3063
hmi,chirp,B1,SCONJ,2,0.6006
hmi,chirp,B1,SYM,22,6.6066
hmi,chirp,B1,VERB,28,8.4084
hmi,chirp,B1,X,2,0.6006
