speech,model,cef,pos_tag,count,percentage
hmi,chirp,A1,ADJ,314,8.3466
hmi,chirp,A1,ADP,300,7.9745
hmi,chirp,A1,ADV,320,8.5061
hmi,chirp,A1,AUX,219,5.8214
hmi,chirp,A1,CCONJ,117,3.11
hmi,chirp,A1,DET,257,6.8315
hmi,chirp,A1,INTJ,238,6.3264
hmi,chirp,A1,NOUN,582,15.4705
hmi,chirp,A1,NUM,35,0.9304
hmi,chirp,A1,PRON,645,17.1451
hmi,chirp,A1,PROPN,97,2.5784
hmi,chirp,A1,PUNCT,0,0.0
hmi,chirp,A1,SCONJ,52,1.3822
hmi,chirp,A1,SYM,61,1.6215
hmi,chirp,A1,VERB,525,13.9553
hmi,chirp,A2,ADJ,756,8.0349
hmi,chirp,A2,ADP,758,8.0561
hmi,chirp,A2,ADV,999,10.6175
hmi,chirp,A2,AUX,535,5.686
hmi,chirp,A2,CCONJ,299,3.1778
hmi,chirp,A2,DET,687,7.3015
hmi,chirp,A2,INTJ,357,3.7942
hmi,chirp,A2,NOUN,1355,14.4011
hmi,chirp,A2,NUM,93,0.9884
hmi,chirp,A2,PRON,1677,17.8234
hmi,chirp,A2,PROPN,236,2.5082
hmi,chirp,A2,PUNCT,1,0.0106
hmi,chirp,A2,SCONJ,165,1.7536
hmi,chirp,A2,SYM,66,0.7015
hmi,chirp,A2,VERB,1425,15.1451
hmi,chirp,B1,ADJ,469,8.0515
hmi,chirp,B1,ADP,551,9.4592
hmi,chirp,B1,ADV,556,9.5451
hmi,chirp,B1,AUX,331,5.6824
hmi,chirp,B1,CCONJ,256,4.3948
hmi,chirp,B1,DET,501,8.6009
hmi,chirp,B1,INTJ,236,4.0515
hmi,chirp,B1,NOUN,820,14.0773
hmi,chirp,B1,NUM,57,0.9785
hmi,chirp,B1,PRON,996,17.0987
hmi,chirp,B1,PROPN,163,2.7983
hmi,chirp,B1,PUNCT,0,0.0
hmi,chirp,B1,SCONJ,120,2.0601
hmi,chirp,B1,SYM,50,0.8584
hmi,chirp,B1,VERB,719,12.3433
