speech,model,cef,destination_pos,count,percentage
hmi,chirp,A1,ADJ,1,0.7692
hmi,chirp,A1,ADP,11,8.4615
hmi,chirp,A1,ADV,6,4.6154
hmi,chirp,A1,AUX,12,9.2308
hmi,chirp,A1,CCONJ,1,0.7692
hmi,chirp,A1,DET,9,6.9231
hmi,chirp,A1,INTJ,29,22.3077
hmi,chirp,A1,NOUN,10,7.6923
hmi,chirp,A1,NUM,3,2.3077
hmi,chirp,A1,PRON,20,15.3846
hmi,chirp,A1,PROPN,1,0.7692
hmi,chirp,A1,SCONJ,1,0.7692
hmi,chirp,A1,SYM,5,3.8462
hmi,chirp,A1,VERB,21,16.1538
hmi,chirp,A2,ADJ,19,4.0685
hmi,chirp,A2,ADP,36,7.7088
hmi,chirp,A2,ADV,42,8.9936
hmi,chirp,A2,AUX,32,6.8522
hmi,chirp,A2,CCONJ,10,2.1413
hmi,chirp,A2,DET,59,12.6338
hmi,chirp,A2,INTJ,57,12.2056
hmi,chirp,A2,NOUN,29,6.2099
hmi,chirp,A2,NUM,6,1.2848
hmi,chirp,A2,PRON,117,25.0535
hmi,chirp,A2,PROPN,8,1.7131
hmi,chirp,A2,SCONJ,6,1.2848
hmi,chirp,A2,SYM,3,0.6424
hmi,chirp,A2,VERB,43,9.2077
hmi,chirp,B1,ADJ,12,4.0956
hmi,chirp,B1,ADP,15,5.1195
hmi,chirp,B1,ADV,30,10.2389
hmi,chirp,B1,AUX,16,5.4608
hmi,chirp,B1,CCONJ,16,5.4608
hmi,chirp,B1,DET,55,18.7713
hmi,chirp,B1,INTJ,36,12.2867
hmi,chirp,B1,NOUN,16,5.4608
hmi,chirp,B1,NUM,0,0.0
hmi,chirp,B1,PRON,58,19.7952
hmi,chirp,B1,PROPN,3,1.0239
hmi,chirp,B1,SCONJ,4,1.3652
hmi,chirp,B1,SYM,6,2.0478
hmi,chirp,B1,VERB,26,8.8737
