speech,model,cef,dep_tag,count,percentage
hmi,chirp,A1,ROOT,1448,36.3363
hmi,chirp,A1,acl,1,0.0251
hmi,chirp,A1,acl:relcl,2,0.0502
hmi,chirp,A1,advcl,8,0.2008
hmi,chirp,A1,advmod,341,8.5571
hmi,chirp,A1,amod,138,3.463
hmi,chirp,A1,appos,14,0.3513
hmi,chirp,A1,aux,28,0.7026
hmi,chirp,A1,aux:pass,0,0.0
hmi,chirp,A1,case,239,5.9975
hmi,chirp,A1,cc,69,1.7315
hmi,chirp,A1,ccomp,3,0.0753
hmi,chirp,A1,compound:prt,11,0.276
hmi,chirp,A1,conj,29,0.7277
hmi,chirp,A1,cop,101,2.5345
hmi,chirp,A1,csubj,0,0.0
hmi,chirp,A1,dep,3,0.0753
hmi,chirp,A1,det,233,5.8469
hmi,chirp,A1,expl,9,0.2258
hmi,chirp,A1,expl:pv,0,0.0
hmi,chirp,A1,fixed,140,3.5132
hmi,chirp,A1,flat,41,1.0289
hmi,chirp,A1,iobj,1,0.0251
hmi,chirp,A1,mark,95,2.3839
hmi,chirp,A1,nmod,60,1.5056
hmi,chirp,A1,nmod:poss,39,0.9787
hmi,chirp,A1,nsubj,485,12.1706
hmi,chirp,A1,nsubj:pass,3,0.0753
hmi,chirp,A1,nummod,59,1.4806
hmi,chirp,A1,obj,138,3.463
hmi,chirp,A1,obl,108,2.7102
hmi,chirp,A1,parataxis,40,1.0038
hmi,chirp,A1,punct,22,0.5521
hmi,chirp,A1,xcomp,77,1.9322
hmi,chirp,A2,ROOT,3308,34.3867
hmi,chirp,A2,acl,6,0.0624
hmi,chirp,A2,acl:relcl,13,0.1351
hmi,chirp,A2,advcl,28,0.2911
hmi,chirp,A2,advmod,938,9.7505
hmi,chirp,A2,amod,343,3.5655
hmi,chirp,A2,appos,26,0.2703
hmi,chirp,A2,aux,134,1.3929
hmi,chirp,A2,aux:pass,3,0.0312
hmi,chirp,A2,case,559,5.8108
hmi,chirp,A2,cc,244,2.5364
hmi,chirp,A2,ccomp,42,0.4366
hmi,chirp,A2,compound:prt,48,0.499
hmi,chirp,A2,conj,77,0.8004
hmi,chirp,A2,cop,207,2.1518
hmi,chirp,A2,csubj,2,0.0208
hmi,chirp,A2,dep,9,0.0936
hmi,chirp,A2,det,585,6.0811
hmi,chirp,A2,expl,27,0.2807
hmi,chirp,A2,expl:pv,1,0.0104
hmi,chirp,A2,fixed,152,1.58
hmi,chirp,A2,flat,43,0.447
hmi,chirp,A2,iobj,14,0.1455
hmi,chirp,A2,mark,292,3.0353
hmi,chirp,A2,nmod,126,1.3098
hmi,chirp,A2,nmod:poss,93,0.9667
hmi,chirp,A2,nsubj,1232,12.8067
hmi,chirp,A2,nsubj:pass,2,0.0208
hmi,chirp,A2,nummod,80,0.8316
hmi,chirp,A2,obj,363,3.7734
hmi,chirp,A2,obl,274,2.8482
hmi,chirp,A2,parataxis,93,0.9667
hmi,chirp,A2,punct,44,0.4574
hmi,chirp,A2,xcomp,212,2.2037
hmi,chirp,B1,ROOT,2083,35.5158
hmi,chirp,B1,acl,3,0.0512
hmi,chirp,B1,acl:relcl,5,0.0853
hmi,chirp,B1,advcl,30,0.5115
hmi,chirp,B1,advmod,532,9.0708
hmi,chirp,B1,amod,215,3.6658
hmi,chirp,B1,appos,11,0.1876
hmi,chirp,B1,aux,52,0.8866
hmi,chirp,B1,aux:pass,0,0.0
hmi,chirp,B1,case,367,6.2575
hmi,chirp,B1,cc,148,2.5234
hmi,chirp,B1,ccomp,8,0.1364
hmi,chirp,B1,compound:prt,27,0.4604
hmi,chirp,B1,conj,46,0.7843
hmi,chirp,B1,cop,131,2.2336
hmi,chirp,B1,csubj,1,0.0171
hmi,chirp,B1,dep,7,0.1194
hmi,chirp,B1,det,387,6.5985
hmi,chirp,B1,expl,13,0.2217
hmi,chirp,B1,expl:pv,0,0.0
hmi,chirp,B1,fixed,75,1.2788
hmi,chirp,B1,flat,26,0.4433
hmi,chirp,B1,iobj,1,0.0171
hmi,chirp,B1,mark,234,3.9898
hmi,chirp,B1,nmod,93,1.5857
hmi,chirp,B1,nmod:poss,61,1.0401
hmi,chirp,B1,nsubj,671,11.4408
hmi,chirp,B1,nsubj:pass,2,0.0341
hmi,chirp,B1,nummod,66,1.1253
hmi,chirp,B1,obj,210,3.5806
hmi,chirp,B1,obl,166,2.8303
hmi,chirp,B1,parataxis,61,1.0401
hmi,chirp,B1,punct,31,0.5286
hmi,chirp,B1,xcomp,102,1.7391
