speech,model,cef,pos_tag,count,percentage
hmi,chirp,A1,ADJ,345,8.6575
hmi,chirp,A1,ADP,294,7.3777
hmi,chirp,A1,ADV,328,8.2309
hmi,chirp,A1,AUX,205,5.1443
hmi,chirp,A1,CCONJ,122,3.0615
hmi,chirp,A1,DET,255,6.399
hmi,chirp,A1,INTJ,213,5.345
hmi,chirp,A1,NOUN,629,15.7842
hmi,chirp,A1,NUM,79,1.9824
hmi,chirp,A1,PRON,631,15.8344
hmi,chirp,A1,PROPN,198,4.9686
hmi,chirp,A1,SCONJ,60,1.5056
hmi,chirp,A1,SYM,70,1.7566
hmi,chirp,A1,VERB,555,13.9272
hmi,chirp,A1,X,1,0.0251
hmi,chirp,A2,ADJ,790,8.2121
hmi,chirp,A2,ADP,781,8.1185
hmi,chirp,A2,ADV,1030,10.7069
hmi,chirp,A2,AUX,470,4.8857
hmi,chirp,A2,CCONJ,337,3.5031
hmi,chirp,A2,DET,656,6.8191
hmi,chirp,A2,INTJ,305,3.1705
hmi,chirp,A2,NOUN,1496,15.5509
hmi,chirp,A2,NUM,125,1.2994
hmi,chirp,A2,PRON,1521,15.8108
hmi,chirp,A2,PROPN,326,3.3888
hmi,chirp,A2,SCONJ,165,1.7152
hmi,chirp,A2,SYM,127,1.3202
hmi,chirp,A2,VERB,1489,15.4782
hmi,chirp,A2,X,2,0.0208
hmi,chirp,B1,ADJ,488,8.3205
hmi,chirp,B1,ADP,588,10.0256
hmi,chirp,B1,ADV,558,9.5141
hmi,chirp,B1,AUX,298,5.081
hmi,chirp,B1,CCONJ,248,4.2285
hmi,chirp,B1,DET,455,7.7579
hmi,chirp,B1,INTJ,203,3.4612
hmi,chirp,B1,NOUN,840,14.3223
hmi,chirp,B1,NUM,87,1.4834
hmi,chirp,B1,PRON,935,15.942
hmi,chirp,B1,PROPN,206,3.5124
hmi,chirp,B1,SCONJ,124,2.1142
hmi,chirp,B1,SYM,58,0.9889
hmi,chirp,B1,VERB,771,13.1458
hmi,chirp,B1,X,6,0.1023
