speech,model,cef,source_pos,count,percentage
hmi,chirp,A1,ADJ,76,9.4293
hmi,chirp,A1,ADP,39,4.8387
hmi,chirp,A1,ADV,48,5.9553
hmi,chirp,A1,AUX,18,2.2333
hmi,chirp,A1,CCONJ,24,2.9777
hmi,chirp,A1,DET,69,8.5608
hmi,chirp,A1,INTJ,15,1.861
hmi,chirp,A1,NOUN,166,20.5955
hmi,chirp,A1,NUM,44,5.4591
hmi,chirp,A1,PRON,105,13.0273
hmi,chirp,A1,PROPN,64,7.9404
hmi,chirp,A1,SCONJ,6,0.7444
hmi,chirp,A1,SYM,21,2.6055
hmi,chirp,A1,VERB,111,13.7717
hmi,chirp,A1,X,0,0.0
hmi,chirp,A2,ADJ,188,9.6065
hmi,chirp,A2,ADP,107,5.4676
hmi,chirp,A2,ADV,171,8.7379
hmi,chirp,A2,AUX,45,2.2994
hmi,chirp,A2,CCONJ,41,2.095
hmi,chirp,A2,DET,117,5.9785
hmi,chirp,A2,INTJ,24,1.2264
hmi,chirp,A2,NOUN,484,24.7317
hmi,chirp,A2,NUM,36,1.8396
hmi,chirp,A2,PRON,209,10.6796
hmi,chirp,A2,PROPN,172,8.789
hmi,chirp,A2,SCONJ,15,0.7665
hmi,chirp,A2,SYM,62,3.1681
hmi,chirp,A2,VERB,285,14.5631
hmi,chirp,A2,X,1,0.0511
hmi,chirp,B1,ADJ,103,9.5194
hmi,chirp,B1,ADP,84,7.7634
hmi,chirp,B1,ADV,83,7.671
hmi,chirp,B1,AUX,21,1.9409
hmi,chirp,B1,CCONJ,23,2.1257
hmi,chirp,B1,DET,83,7.671
hmi,chirp,B1,INTJ,8,0.7394
hmi,chirp,B1,NOUN,237,21.9039
hmi,chirp,B1,NUM,42,3.8817
hmi,chirp,B1,PRON,133,12.2921
hmi,chirp,B1,PROPN,85,7.8558
hmi,chirp,B1,SCONJ,15,1.3863
hmi,chirp,B1,SYM,22,2.0333
hmi,chirp,B1,VERB,139,12.8466
hmi,chirp,B1,X,4,0.3697
