speech,model,cef,destination_pos,count,percentage
hmi,whisper,A1,ADJ,7,2.8571
hmi,whisper,A1,ADP,20,8.1633
hmi,whisper,A1,ADV,16,6.5306
hmi,whisper,A1,AUX,15,6.1224
hmi,whisper,A1,CCONJ,20,8.1633
hmi,whisper,A1,DET,21,8.5714
hmi,whisper,A1,INTJ,20,8.1633
hmi,whisper,A1,NOUN,16,6.5306
hmi,whisper,A1,NUM,0,0.0
hmi,whisper,A1,PRON,58,23.6735
hmi,whisper,A1,PROPN,4,1.6327
hmi,whisper,A1,SCONJ,3,1.2245
hmi,whisper,A1,SYM,7,2.8571
hmi,whisper,A1,VERB,38,15.5102
hmi,whisper,A2,ADJ,27,3.6486
hmi,whisper,A2,ADP,72,9.7297
hmi,whisper,A2,ADV,75,10.1351
hmi,whisper,A2,AUX,47,6.3514
hmi,whisper,A2,CCONJ,46,6.2162
hmi,whisper,A2,DET,89,12.027
hmi,whisper,A2,INTJ,45,6.0811
hmi,whisper,A2,NOUN,46,6.2162
hmi,whisper,A2,NUM,3,0.4054
hmi,whisper,A2,PRON,181,24.4595
hmi,whisper,A2,PROPN,6,0.8108
hmi,whisper,A2,SCONJ,8,1.0811
hmi,whisper,A2,SYM,3,0.4054
hmi,whisper,A2,VERB,92,12.4324
hmi,whisper,B1,ADJ,15,4.2254
hmi,whisper,B1,ADP,30,8.4507
hmi,whisper,B1,ADV,32,9.0141
hmi,whisper,B1,AUX,24,6.7606
hmi,whisper,B1,CCONJ,21,5.9155
hmi,whisper,B1,DET,45,12.6761
hmi,whisper,B1,INTJ,35,9.8592
hmi,whisper,B1,NOUN,18,5.0704
hmi,whisper,B1,NUM,0,0.0
hmi,whisper,B1,PRON,82,23.0986
hmi,whisper,B1,PROPN,3,0.8451
hmi,whisper,B1,SCONJ,7,1.9718
hmi,whisper,B1,SYM,2,0.5634
hmi,whisper,B1,VERB,41,11.5493
