speech_type,model,cef,error_type,source_pos,error_count,reference_count,category_error_rate,category_error_rate_ci_lower,category_error_rate_ci_upper
HMI,chirp,A1,deletion,ADJ,16,345,0.046377,0.024185,0.068568
HMI,chirp,A1,deletion,ADP,18,294,0.061224,0.03382,0.088629
HMI,chirp,A1,deletion,ADV,14,328,0.042683,0.020807,0.064559
HMI,chirp,A1,deletion,AUX,11,205,0.053659,0.022811,0.084506
HMI,chirp,A1,deletion,CCONJ,7,122,0.057377,0.016109,0.098645
HMI,chirp,A1,deletion,DET,28,255,0.109804,0.07143,0.148178
HMI,chirp,A1,deletion,INTJ,15,213,0.070423,0.036062,0.104783
HMI,chirp,A1,deletion,NOUN,47,629,0.074722,0.054173,0.095271
HMI,chirp,A1,deletion,NUM,8,79,0.101266,0.03474,0.167792
HMI,chirp,A1,deletion,PRON,32,631,0.050713,0.033593,0.067833
HMI,chirp,A1,deletion,PROPN,78,198,0.393939,0.325879,0.462
HMI,chirp,A1,deletion,SCONJ,4,60,0.066667,0.003549,0.129785
HMI,chirp,A1,deletion,SYM,45,70,0.642857,0.530607,0.755107
HMI,chirp,A1,deletion,VERB,29,555,0.052252,0.033738,0.070767
HMI,chirp,A1,deletion,X,1,1,1.0,1.0,1.0
HMI,chirp,A2,deletion,ADJ,35,790,0.044304,0.029955,0.058653
HMI,chirp,A2,deletion,ADP,65,781,0.083227,0.063854,0.102599
HMI,chirp,A2,deletion,ADV,58,1030,0.056311,0.042232,0.070389
HMI,chirp,A2,deletion,AUX,31,470,0.065957,0.043517,0.088397
HMI,chirp,A2,deletion,CCONJ,39,337,0.115727,0.081572,0.149882
HMI,chirp,A2,deletion,DET,54,656,0.082317,0.061284,0.10335
HMI,chirp,A2,deletion,INTJ,19,305,0.062295,0.03517,0.08942
HMI,chirp,A2,deletion,NOUN,79,1496,0.052807,0.041474,0.064141
HMI,chirp,A2,deletion,NUM,20,125,0.16,0.095731,0.224269
HMI,chirp,A2,deletion,PRON,95,1521,0.062459,0.050298,0.07462
HMI,chirp,A2,deletion,PROPN,40,326,0.122699,0.087084,0.158315
HMI,chirp,A2,deletion,SCONJ,11,165,0.066667,0.028605,0.104728
HMI,chirp,A2,deletion,SYM,48,127,0.377953,0.293622,0.462283
HMI,chirp,A2,deletion,VERB,83,1489,0.055742,0.044089,0.067395
HMI,chirp,A2,deletion,X,1,2,0.5,0.0,1.0
HMI,chirp,B1,deletion,ADJ,15,488,0.030738,0.015423,0.046052
HMI,chirp,B1,deletion,ADP,37,588,0.062925,0.043298,0.082553
HMI,chirp,B1,deletion,ADV,28,558,0.050179,0.032065,0.068294
HMI,chirp,B1,deletion,AUX,12,298,0.040268,0.017948,0.062589
HMI,chirp,B1,deletion,CCONJ,12,248,0.048387,0.02168,0.075094
HMI,chirp,B1,deletion,DET,35,455,0.076923,0.052438,0.101408
HMI,chirp,B1,deletion,INTJ,18,203,0.08867,0.049565,0.127775
HMI,chirp,B1,deletion,NOUN,46,840,0.054762,0.039376,0.070148
HMI,chirp,B1,deletion,NUM,5,87,0.057471,0.008564,0.106378
HMI,chirp,B1,deletion,PRON,50,935,0.053476,0.039055,0.067897
HMI,chirp,B1,deletion,PROPN,21,206,0.101942,0.060623,0.143261
HMI,chirp,B1,deletion,SCONJ,2,124,0.016129,0.0,0.038302
HMI,chirp,B1,deletion,SYM,22,58,0.37931,0.254435,0.504186
HMI,chirp,B1,deletion,VERB,28,771,0.036316,0.023111,0.049522
HMI,chirp,B1,deletion,X,2,6,0.333333,0.0,0.710536
