speech_type,model,cef,error_type,source_pos,error_count,reference_count,category_error_rate,category_error_rate_ci_lower,category_error_rate_ci_upper
HMI,chirp,A1,substitution,ADJ,76,345,0.22029,0.176557,0.264023
HMI,chirp,A1,substitution,ADP,39,294,0.132653,0.093879,0.171427
HMI,chirp,A1,substitution,ADV,48,328,0.146341,0.10809,0.184593
HMI,chirp,A1,substitution,AUX,18,205,0.087805,0.049063,0.126547
HMI,chirp,A1,substitution,CCONJ,24,122,0.196721,0.126181,0.267261
HMI,chirp,A1,substitution,DET,69,255,0.270588,0.216059,0.325117
HMI,chirp,A1,substitution,INTJ,15,213,0.070423,0.036062,0.104783
HMI,chirp,A1,substitution,NOUN,166,629,0.263911,0.229466,0.298356
HMI,chirp,A1,substitution,NUM,44,79,0.556962,0.447421,0.666503
HMI,chirp,A1,substitution,PRON,105,631,0.166403,0.137342,0.195463
HMI,chirp,A1,substitution,PROPN,64,198,0.323232,0.258084,0.38838
HMI,chirp,A1,substitution,SCONJ,6,60,0.1,0.02409,0.17591
HMI,chirp,A1,substitution,SYM,21,70,0.3,0.192646,0.407354
HMI,chirp,A1,substitution,VERB,111,555,0.2,0.166721,0.233279
HMI,chirp,A1,substitution,X,0,1,0.0,0.0,0.0
HMI,chirp,A2,substitution,ADJ,188,790,0.237975,0.208279,0.26767
HMI,chirp,A2,substitution,ADP,107,781,0.137004,0.112888,0.16112
HMI,chirp,A2,substitution,ADV,171,1030,0.166019,0.143295,0.188744
HMI,chirp,A2,substitution,AUX,45,470,0.095745,0.069143,0.122346
HMI,chirp,A2,substitution,CCONJ,41,337,0.121662,0.08676,0.156564
HMI,chirp,A2,substitution,DET,117,656,0.178354,0.149059,0.207648
HMI,chirp,A2,substitution,INTJ,24,305,0.078689,0.048471,0.108906
HMI,chirp,A2,substitution,NOUN,484,1496,0.323529,0.299823,0.347236
HMI,chirp,A2,substitution,NUM,36,125,0.288,0.208615,0.367385
HMI,chirp,A2,substitution,PRON,209,1521,0.13741,0.120107,0.154712
HMI,chirp,A2,substitution,PROPN,172,326,0.527607,0.473413,0.581802
HMI,chirp,A2,substitution,SCONJ,15,165,0.090909,0.047044,0.134774
HMI,chirp,A2,substitution,SYM,62,127,0.488189,0.401252,0.575126
HMI,chirp,A2,substitution,VERB,285,1489,0.191404,0.171421,0.211386
HMI,chirp,A2,substitution,X,1,2,0.5,0.0,1.0
HMI,chirp,B1,substitution,ADJ,103,488,0.211066,0.17486,0.247271
HMI,chirp,B1,substitution,ADP,84,588,0.142857,0.114573,0.171141
HMI,chirp,B1,substitution,ADV,83,558,0.148746,0.11922,0.178271
HMI,chirp,B1,substitution,AUX,21,298,0.07047,0.041411,0.099529
HMI,chirp,B1,substitution,CCONJ,23,248,0.092742,0.05664,0.128844
HMI,chirp,B1,substitution,DET,83,455,0.182418,0.146932,0.217903
HMI,chirp,B1,substitution,INTJ,8,203,0.039409,0.012643,0.066174
HMI,chirp,B1,substitution,NOUN,237,840,0.282143,0.251708,0.312578
HMI,chirp,B1,substitution,NUM,42,87,0.482759,0.377754,0.587763
HMI,chirp,B1,substitution,PRON,133,935,0.142246,0.119856,0.164636
HMI,chirp,B1,substitution,PROPN,85,206,0.412621,0.345392,0.47985
HMI,chirp,B1,substitution,SCONJ,15,124,0.120968,0.063572,0.178364
HMI,chirp,B1,substitution,SYM,22,58,0.37931,0.254435,0.504186
HMI,chirp,B1,substitution,VERB,139,771,0.180285,0.15315,0.207421
HMI,chirp,B1,substitution,X,4,6,0.666667,0.289464,1.0
