speech_type,model,cef,error_type,source_pos,error_count,reference_count,category_error_rate,category_error_rate_ci_lower,category_error_rate_ci_upper
HMI,whisper,A1,deletion,ADJ,22,345,0.063768,0.037985,0.089552
HMI,whisper,A1,deletion,ADP,24,294,0.081633,0.050334,0.112931
HMI,whisper,A1,deletion,ADV,13,328,0.039634,0.01852,0.060748
HMI,whisper,A1,deletion,AUX,17,205,0.082927,0.045176,0.120678
HMI,whisper,A1,deletion,CCONJ,14,122,0.114754,0.058196,0.171312
HMI,whisper,A1,deletion,DET,32,255,0.12549,0.08483,0.166151
HMI,whisper,A1,deletion,INTJ,21,213,0.098592,0.058556,0.138627
HMI,whisper,A1,deletion,NOUN,43,629,0.068362,0.04864,0.088085
HMI,whisper,A1,deletion,NUM,9,79,0.113924,0.043862,0.183987
HMI,whisper,A1,deletion,PRON,46,631,0.0729,0.052615,0.093185
HMI,whisper,A1,deletion,PROPN,92,198,0.464646,0.395175,0.534118
HMI,whisper,A1,deletion,SCONJ,3,60,0.05,0.0,0.105148
HMI,whisper,A1,deletion,SYM,45,70,0.642857,0.530607,0.755107
HMI,whisper,A1,deletion,VERB,30,555,0.054054,0.035241,0.072867
HMI,whisper,A1,deletion,X,1,1,1.0,1.0,1.0
HMI,whisper,A2,deletion,ADJ,35,790,0.044304,0.029955,0.058653
HMI,whisper,A2,deletion,ADP,65,781,0.083227,0.063854,0.102599
HMI,whisper,A2,deletion,ADV,77,1030,0.074757,0.058696,0.090819
HMI,whisper,A2,deletion,AUX,32,470,0.068085,0.045312,0.090858
HMI,whisper,A2,deletion,CCONJ,25,337,0.074184,0.046203,0.102165
HMI,whisper,A2,deletion,DET,58,656,0.088415,0.066689,0.11014
HMI,whisper,A2,deletion,INTJ,35,305,0.114754,0.078984,0.150524
HMI,whisper,A2,deletion,NOUN,71,1496,0.04746,0.036685,0.058234
HMI,whisper,A2,deletion,NUM,5,125,0.04,0.005647,0.074353
HMI,whisper,A2,deletion,PRON,129,1521,0.084813,0.070811,0.098814
HMI,whisper,A2,deletion,PROPN,37,326,0.113497,0.079064,0.14793
HMI,whisper,A2,deletion,SCONJ,14,165,0.084848,0.04233,0.127367
HMI,whisper,A2,deletion,SYM,43,127,0.338583,0.256278,0.420887
HMI,whisper,A2,deletion,VERB,98,1489,0.065816,0.053221,0.078411
HMI,whisper,A2,deletion,X,1,2,0.5,0.0,1.0
HMI,whisper,B1,deletion,ADJ,14,488,0.028689,0.013878,0.043499
HMI,whisper,B1,deletion,ADP,40,588,0.068027,0.047675,0.088379
HMI,whisper,B1,deletion,ADV,38,558,0.0681,0.047198,0.089003
HMI,whisper,B1,deletion,AUX,18,298,0.060403,0.033354,0.087451
HMI,whisper,B1,deletion,CCONJ,20,248,0.080645,0.046756,0.114534
HMI,whisper,B1,deletion,DET,50,455,0.10989,0.081152,0.138628
HMI,whisper,B1,deletion,INTJ,28,203,0.137931,0.090495,0.185367
HMI,whisper,B1,deletion,NOUN,44,840,0.052381,0.037314,0.067448
HMI,whisper,B1,deletion,NUM,8,87,0.091954,0.031233,0.152675
HMI,whisper,B1,deletion,PRON,68,935,0.072727,0.056082,0.089373
HMI,whisper,B1,deletion,PROPN,31,206,0.150485,0.101659,0.199312
HMI,whisper,B1,deletion,SCONJ,8,124,0.064516,0.021275,0.107757
HMI,whisper,B1,deletion,SYM,22,58,0.37931,0.254435,0.504186
HMI,whisper,B1,deletion,VERB,35,771,0.045396,0.030701,0.06009
HMI,whisper,B1,deletion,X,3,6,0.5,0.099917,0.900083
