speech,model,cef,source_pos,count,percentage
hmi,whisper,A1,ADJ,22,5.3398
hmi,whisper,A1,ADP,24,5.8252
hmi,whisper,A1,ADV,13,3.1553
hmi,whisper,A1,AUX,17,4.1262
hmi,whisper,A1,CCONJ,14,3.3981
hmi,whisper,A1,DET,32,7.767
hmi,whisper,A1,INTJ,21,5.0971
hmi,whisper,A1,NOUN,43,10.4369
hmi,whisper,A1,NUM,9,2.1845
hmi,whisper,A1,PRON,46,11.165
hmi,whisper,A1,PROPN,92,22.3301
hmi,whisper,A1,SCONJ,3,0.7282
hmi,whisper,A1,SYM,45,10.9223
hmi,whisper,A1,VERB,30,7.2816
hmi,whisper,A1,X,1,0.2427
hmi,whisper,A2,ADJ,35,4.8276
hmi,whisper,A2,ADP,65,8.9655
hmi,whisper,A2,ADV,77,10.6207
hmi,whisper,A2,AUX,32,4.4138
hmi,whisper,A2,CCONJ,25,3.4483
hmi,whisper,A2,DET,58,8.0
hmi,whisper,A2,INTJ,35,4.8276
hmi,whisper,A2,NOUN,71,9.7931
hmi,whisper,A2,NUM,5,0.6897
hmi,whisper,A2,PRON,129,17.7931
hmi,whisper,A2,PROPN,37,5.1034
hmi,whisper,A2,SCONJ,14,1.931
hmi,whisper,A2,SYM,43,5.931
hmi,whisper,A2,VERB,98,13.5172
hmi,whisper,A2,X,1,0.1379
hmi,whisper,B1,ADJ,14,3.2787
hmi,whisper,B1,ADP,40,9.3677
hmi,whisper,B1,ADV,38,8.8993
hmi,whisper,B1,AUX,18,4.2155
hmi,whisper,B1,CCONJ,20,4.6838
hmi,whisper,B1,DET,50,11.7096
hmi,whisper,B1,INTJ,28,6.5574
hmi,whisper,B1,NOUN,44,10.3044
hmi,whisper,B1,NUM,8,1.8735
hmi,whisper,B1,PRON,68,15.9251
hmi,whisper,B1,PROPN,31,7.26
hmi,whisper,B1,SCONJ,8,1.8735
hmi,whisper,B1,SYM,22,5.1522
hmi,whisper,B1,VERB,35,8.1967
hmi,whisper,B1,X,3,0.7026
