speech,model,cef,destination_pos,count,percentage
hmi,whisper,A1,ADJ,66,7.2289
hmi,whisper,A1,ADP,50,5.4765
hmi,whisper,A1,ADV,81,8.8719
hmi,whisper,A1,AUX,28,3.0668
hmi,whisper,A1,CCONJ,45,4.9288
hmi,whisper,A1,DET,95,10.4053
hmi,whisper,A1,INTJ,29,3.1763
hmi,whisper,A1,NOUN,187,20.4819
hmi,whisper,A1,NUM,7,0.7667
hmi,whisper,A1,PRON,132,14.4578
hmi,whisper,A1,PROPN,51,5.586
hmi,whisper,A1,SCONJ,7,0.7667
hmi,whisper,A1,SYM,23,2.5192
hmi,whisper,A1,VERB,112,12.2673
hmi,whisper,A2,ADJ,233,9.8687
hmi,whisper,A2,ADP,141,5.972
hmi,whisper,A2,ADV,233,9.8687
hmi,whisper,A2,AUX,96,4.0661
hmi,whisper,A2,CCONJ,59,2.4989
hmi,whisper,A2,DET,181,7.6662
hmi,whisper,A2,INTJ,39,1.6518
hmi,whisper,A2,NOUN,489,20.7116
hmi,whisper,A2,NUM,17,0.72
hmi,whisper,A2,PRON,385,16.3066
hmi,whisper,A2,PROPN,119,5.0402
hmi,whisper,A2,SCONJ,32,1.3554
hmi,whisper,A2,SYM,22,0.9318
hmi,whisper,A2,VERB,315,13.3418
hmi,whisper,B1,ADJ,119,9.9249
hmi,whisper,B1,ADP,91,7.5897
hmi,whisper,B1,ADV,83,6.9224
hmi,whisper,B1,AUX,42,3.5029
hmi,whisper,B1,CCONJ,49,4.0867
hmi,whisper,B1,DET,122,10.1751
hmi,whisper,B1,INTJ,21,1.7515
hmi,whisper,B1,NOUN,267,22.2686
hmi,whisper,B1,NUM,5,0.417
hmi,whisper,B1,PRON,171,14.2619
hmi,whisper,B1,PROPN,58,4.8374
hmi,whisper,B1,SCONJ,18,1.5013
hmi,whisper,B1,SYM,11,0.9174
hmi,whisper,B1,VERB,142,11.8432
