speech,model,cef,source_pos,count,percentage
hmi,whisper,A1,ADJ,76,8.3242
hmi,whisper,A1,ADP,55,6.0241
hmi,whisper,A1,ADV,61,6.6813
hmi,whisper,A1,AUX,22,2.4096
hmi,whisper,A1,CCONJ,17,1.862
hmi,whisper,A1,DET,82,8.9814
hmi,whisper,A1,INTJ,12,1.3143
hmi,whisper,A1,NOUN,198,21.6867
hmi,whisper,A1,NUM,45,4.9288
hmi,whisper,A1,PRON,107,11.7196
hmi,whisper,A1,PROPN,58,6.3527
hmi,whisper,A1,SCONJ,8,0.8762
hmi,whisper,A1,SYM,19,2.0811
hmi,whisper,A1,VERB,153,16.7579
hmi,whisper,A1,X,0,0.0
hmi,whisper,A2,ADJ,218,9.2334
hmi,whisper,A2,ADP,119,5.0402
hmi,whisper,A2,ADV,209,8.8522
hmi,whisper,A2,AUX,72,3.0496
hmi,whisper,A2,CCONJ,41,1.7366
hmi,whisper,A2,DET,154,6.5227
hmi,whisper,A2,INTJ,20,0.8471
hmi,whisper,A2,NOUN,572,24.227
hmi,whisper,A2,NUM,56,2.3719
hmi,whisper,A2,PRON,250,10.5887
hmi,whisper,A2,PROPN,165,6.9886
hmi,whisper,A2,SCONJ,24,1.0165
hmi,whisper,A2,SYM,67,2.8378
hmi,whisper,A2,VERB,393,16.6455
hmi,whisper,A2,X,1,0.0424
hmi,whisper,B1,ADJ,126,10.5088
hmi,whisper,B1,ADP,80,6.6722
hmi,whisper,B1,ADV,74,6.1718
hmi,whisper,B1,AUX,35,2.9191
hmi,whisper,B1,CCONJ,27,2.2519
hmi,whisper,B1,DET,85,7.0892
hmi,whisper,B1,INTJ,7,0.5838
hmi,whisper,B1,NOUN,251,20.9341
hmi,whisper,B1,NUM,45,3.7531
hmi,whisper,B1,PRON,154,12.844
hmi,whisper,B1,PROPN,82,6.839
hmi,whisper,B1,SCONJ,18,1.5013
hmi,whisper,B1,SYM,27,2.2519
hmi,whisper,B1,VERB,185,15.4295
hmi,whisper,B1,X,3,0.2502
