speech,model,cef,source_pos,count,percentage
read,chirp,A1,ADJ,35,7.5269
read,chirp,A1,ADP,45,9.6774
read,chirp,A1,ADV,33,7.0968
read,chirp,A1,AUX,15,3.2258
read,chirp,A1,CCONJ,15,3.2258
read,chirp,A1,DET,29,6.2366
read,chirp,A1,INTJ,5,1.0753
read,chirp,A1,NOUN,89,19.1398
read,chirp,A1,NUM,13,2.7957
read,chirp,A1,PRON,39,8.3871
read,chirp,A1,PROPN,51,10.9677
read,chirp,A1,SCONJ,2,0.4301
read,chirp,A1,SYM,60,12.9032
read,chirp,A1,VERB,33,7.0968
read,chirp,A1,X,1,0.2151
read,chirp,A2,ADJ,124,10.1473
read,chirp,A2,ADP,116,9.4926
read,chirp,A2,ADV,92,7.5286
read,chirp,A2,AUX,34,2.7823
read,chirp,A2,CCONJ,37,3.0278
read,chirp,A2,DET,96,7.856
read,chirp,A2,INTJ,9,0.7365
read,chirp,A2,NOUN,271,22.1768
read,chirp,A2,NUM,56,4.5827
read,chirp,A2,PRON,78,6.383
read,chirp,A2,PROPN,122,9.9836
read,chirp,A2,SCONJ,7,0.5728
read,chirp,A2,SYM,85,6.9558
read,chirp,A2,VERB,88,7.2013
read,chirp,A2,X,7,0.5728
read,chirp,B1,ADJ,22,6.5672
read,chirp,B1,ADP,40,11.9403
read,chirp,B1,ADV,22,6.5672
read,chirp,B1,AUX,10,2.9851
read,chirp,B1,CCONJ,10,2.9851
read,chirp,B1,DET,42,12.5373
read,chirp,B1,INTJ,3,0.8955
read,chirp,B1,NOUN,87,25.9701
read,chirp,B1,NUM,13,3.8806
read,chirp,B1,PRON,17,5.0746
read,chirp,B1,PROPN,22,6.5672
read,chirp,B1,SCONJ,2,0.597
read,chirp,B1,SYM,24,7.1642
read,chirp,B1,VERB,17,5.0746
read,chirp,B1,X,4,1.194
