speech,model,cef,destination_pos,count,percentage
read,chirp,A1,ADJ,17,7.173
read,chirp,A1,ADP,35,14.7679
read,chirp,A1,ADV,29,12.2363
read,chirp,A1,AUX,11,4.6414
read,chirp,A1,CCONJ,4,1.6878
read,chirp,A1,DET,22,9.2827
read,chirp,A1,INTJ,13,5.4852
read,chirp,A1,NOUN,31,13.0802
read,chirp,A1,NUM,5,2.1097
read,chirp,A1,PRON,31,13.0802
read,chirp,A1,PROPN,10,4.2194
read,chirp,A1,SCONJ,1,0.4219
read,chirp,A1,SYM,8,3.3755
read,chirp,A1,VERB,20,8.4388
read,chirp,A2,ADJ,25,4.8077
read,chirp,A2,ADP,67,12.8846
read,chirp,A2,ADV,50,9.6154
read,chirp,A2,AUX,33,6.3462
read,chirp,A2,CCONJ,16,3.0769
read,chirp,A2,DET,75,14.4231
read,chirp,A2,INTJ,16,3.0769
read,chirp,A2,NOUN,66,12.6923
read,chirp,A2,NUM,6,1.1538
read,chirp,A2,PRON,95,18.2692
read,chirp,A2,PROPN,7,1.3462
read,chirp,A2,SCONJ,4,0.7692
read,chirp,A2,SYM,2,0.3846
read,chirp,A2,VERB,58,11.1538
read,chirp,B1,ADJ,7,3.1818
read,chirp,B1,ADP,33,15.0
read,chirp,B1,ADV,22,10.0
read,chirp,B1,AUX,11,5.0
read,chirp,B1,CCONJ,11,5.0
read,chirp,B1,DET,27,12.2727
read,chirp,B1,INTJ,0,0.0
read,chirp,B1,NOUN,26,11.8182
read,chirp,B1,NUM,3,1.3636
read,chirp,B1,PRON,39,17.7273
read,chirp,B1,PROPN,7,3.1818
read,chirp,B1,SCONJ,4,1.8182
read,chirp,B1,SYM,3,1.3636
read,chirp,B1,VERB,27,12.2727
