speech,model,cef,pos_tag,count,percentage
read,chirp,A1,ADJ,758,8.5892
read,chirp,A1,ADP,1024,11.6034
read,chirp,A1,ADV,767,8.6912
read,chirp,A1,AUX,508,5.7564
read,chirp,A1,CCONJ,392,4.4419
read,chirp,A1,DET,964,10.9235
read,chirp,A1,INTJ,19,0.2153
read,chirp,A1,NOUN,1946,22.051
read,chirp,A1,NUM,193,2.187
read,chirp,A1,PRON,894,10.1303
read,chirp,A1,PROPN,222,2.5156
read,chirp,A1,SCONJ,135,1.5297
read,chirp,A1,SYM,94,1.0652
read,chirp,A1,VERB,907,10.2776
read,chirp,A1,X,2,0.0227
read,chirp,A2,ADJ,2031,8.6599
read,chirp,A2,ADP,2760,11.7682
read,chirp,A2,ADV,2031,8.6599
read,chirp,A2,AUX,1318,5.6198
read,chirp,A2,CCONJ,897,3.8247
read,chirp,A2,DET,2757,11.7554
read,chirp,A2,INTJ,34,0.145
read,chirp,A2,NOUN,5271,22.4747
read,chirp,A2,NUM,457,1.9486
read,chirp,A2,PRON,2300,9.8068
read,chirp,A2,PROPN,599,2.554
read,chirp,A2,SCONJ,376,1.6032
read,chirp,A2,SYM,166,0.7078
read,chirp,A2,VERB,2444,10.4208
read,chirp,A2,X,12,0.0512
read,chirp,B1,ADJ,724,8.6925
read,chirp,B1,ADP,991,11.8982
read,chirp,B1,ADV,715,8.5845
read,chirp,B1,AUX,473,5.679
read,chirp,B1,CCONJ,336,4.0341
read,chirp,B1,DET,1004,12.0543
read,chirp,B1,INTJ,4,0.048
read,chirp,B1,NOUN,1894,22.7398
read,chirp,B1,NUM,158,1.897
read,chirp,B1,PRON,803,9.641
read,chirp,B1,PROPN,186,2.2332
read,chirp,B1,SCONJ,141,1.6929
read,chirp,B1,SYM,45,0.5403
read,chirp,B1,VERB,850,10.2053
read,chirp,B1,X,5,0.06
