speech,model,cef,destination_pos,count,percentage
read,chirp,A1,ADJ,178,10.0338
read,chirp,A1,ADP,134,7.5536
read,chirp,A1,ADV,81,4.566
read,chirp,A1,AUX,57,3.2131
read,chirp,A1,CCONJ,35,1.9729
read,chirp,A1,DET,206,11.6122
read,chirp,A1,INTJ,10,0.5637
read,chirp,A1,NOUN,504,28.4104
read,chirp,A1,NUM,40,2.2548
read,chirp,A1,PRON,126,7.1026
read,chirp,A1,PROPN,80,4.5096
read,chirp,A1,SCONJ,6,0.3382
read,chirp,A1,SYM,49,2.7621
read,chirp,A1,VERB,268,15.1071
read,chirp,A2,ADJ,459,10.1616
read,chirp,A2,ADP,293,6.4866
read,chirp,A2,ADV,212,4.6934
read,chirp,A2,AUX,139,3.0773
read,chirp,A2,CCONJ,88,1.9482
read,chirp,A2,DET,510,11.2907
read,chirp,A2,INTJ,28,0.6199
read,chirp,A2,NOUN,1293,28.6252
read,chirp,A2,NUM,125,2.7673
read,chirp,A2,PRON,330,7.3057
read,chirp,A2,PROPN,210,4.6491
read,chirp,A2,SCONJ,35,0.7749
read,chirp,A2,SYM,94,2.081
read,chirp,A2,VERB,701,15.5191
read,chirp,B1,ADJ,158,10.4775
read,chirp,B1,ADP,92,6.1008
read,chirp,B1,ADV,77,5.1061
read,chirp,B1,AUX,53,3.5146
read,chirp,B1,CCONJ,36,2.3873
read,chirp,B1,DET,197,13.0637
read,chirp,B1,INTJ,5,0.3316
read,chirp,B1,NOUN,397,26.3263
read,chirp,B1,NUM,28,1.8568
read,chirp,B1,PRON,120,7.9576
read,chirp,B1,PROPN,68,4.5093
read,chirp,B1,SCONJ,16,1.061
read,chirp,B1,SYM,42,2.7851
read,chirp,B1,VERB,219,14.5225
