speech,model,cef,source_pos,count,percentage
read,chirp,A1,ADJ,211,11.894
read,chirp,A1,ADP,81,4.566
read,chirp,A1,ADV,75,4.2277
read,chirp,A1,AUX,40,2.2548
read,chirp,A1,CCONJ,82,4.6223
read,chirp,A1,DET,135,7.6099
read,chirp,A1,INTJ,7,0.3946
read,chirp,A1,NOUN,568,32.018
read,chirp,A1,NUM,123,6.9335
read,chirp,A1,PRON,129,7.2717
read,chirp,A1,PROPN,85,4.7914
read,chirp,A1,SCONJ,7,0.3946
read,chirp,A1,SYM,20,1.1274
read,chirp,A1,VERB,210,11.8377
read,chirp,A1,X,1,0.0564
read,chirp,A2,ADJ,448,9.9181
read,chirp,A2,ADP,250,5.5346
read,chirp,A2,ADV,244,5.4018
read,chirp,A2,AUX,109,2.4131
read,chirp,A2,CCONJ,150,3.3208
read,chirp,A2,DET,285,6.3095
read,chirp,A2,INTJ,11,0.2435
read,chirp,A2,NOUN,1484,32.8537
read,chirp,A2,NUM,290,6.4202
read,chirp,A2,PRON,270,5.9774
read,chirp,A2,PROPN,272,6.0217
read,chirp,A2,SCONJ,21,0.4649
read,chirp,A2,SYM,75,1.6604
read,chirp,A2,VERB,603,13.3496
read,chirp,A2,X,5,0.1107
read,chirp,B1,ADJ,159,10.5438
read,chirp,B1,ADP,88,5.8355
read,chirp,B1,ADV,80,5.305
read,chirp,B1,AUX,39,2.5862
read,chirp,B1,CCONJ,43,2.8515
read,chirp,B1,DET,124,8.2228
read,chirp,B1,INTJ,1,0.0663
read,chirp,B1,NOUN,480,31.8302
read,chirp,B1,NUM,109,7.2281
read,chirp,B1,PRON,106,7.0292
read,chirp,B1,PROPN,85,5.6366
read,chirp,B1,SCONJ,8,0.5305
read,chirp,B1,SYM,18,1.1936
read,chirp,B1,VERB,167,11.0743
read,chirp,B1,X,1,0.0663
