speech_type,model,cef,error_type,source_pos,error_count,reference_count,category_error_rate,category_error_rate_ci_lower,category_error_rate_ci_upper
read,chirp,A1,deletion,ADJ,35,758,0.046174,0.031234,0.061114
read,chirp,A1,deletion,ADP,45,1024,0.043945,0.031391,0.0565
read,chirp,A1,deletion,ADV,33,767,0.043025,0.028664,0.057385
read,chirp,A1,deletion,AUX,15,508,0.029528,0.014807,0.044248
read,chirp,A1,deletion,CCONJ,15,392,0.038265,0.019275,0.057256
read,chirp,A1,deletion,DET,29,964,0.030083,0.0193,0.040866
read,chirp,A1,deletion,INTJ,5,19,0.263158,0.065154,0.461162
read,chirp,A1,deletion,NOUN,89,1946,0.045735,0.036453,0.055017
read,chirp,A1,deletion,NUM,13,193,0.067358,0.031996,0.102719
read,chirp,A1,deletion,PRON,39,894,0.043624,0.030235,0.057014
read,chirp,A1,deletion,PROPN,51,222,0.22973,0.174393,0.285066
read,chirp,A1,deletion,SCONJ,2,135,0.014815,0.0,0.035194
read,chirp,A1,deletion,SYM,60,94,0.638298,0.541162,0.735434
read,chirp,A1,deletion,VERB,33,907,0.036384,0.024198,0.04857
read,chirp,A1,deletion,X,1,2,0.5,0.0,1.0
read,chirp,A2,deletion,ADJ,124,2031,0.061054,0.050641,0.071467
read,chirp,A2,deletion,ADP,116,2760,0.042029,0.034543,0.049515
read,chirp,A2,deletion,ADV,92,2031,0.045298,0.036254,0.054342
read,chirp,A2,deletion,AUX,34,1318,0.025797,0.017238,0.034355
read,chirp,A2,deletion,CCONJ,37,897,0.041249,0.028234,0.054263
read,chirp,A2,deletion,DET,96,2757,0.03482,0.027977,0.041664
read,chirp,A2,deletion,INTJ,9,34,0.264706,0.11641,0.413002
read,chirp,A2,deletion,NOUN,271,5271,0.051413,0.045451,0.057375
read,chirp,A2,deletion,NUM,56,457,0.122538,0.092474,0.152602
read,chirp,A2,deletion,PRON,78,2300,0.033913,0.026516,0.041311
read,chirp,A2,deletion,PROPN,122,599,0.203673,0.171421,0.235925
read,chirp,A2,deletion,SCONJ,7,376,0.018617,0.004954,0.03228
read,chirp,A2,deletion,SYM,85,166,0.512048,0.436008,0.588089
read,chirp,A2,deletion,VERB,88,2444,0.036007,0.02862,0.043393
read,chirp,A2,deletion,X,7,12,0.583333,0.304389,0.862278
read,chirp,B1,deletion,ADJ,22,724,0.030387,0.017883,0.04289
read,chirp,B1,deletion,ADP,40,991,0.040363,0.02811,0.052617
read,chirp,B1,deletion,ADV,22,715,0.030769,0.018111,0.043428
read,chirp,B1,deletion,AUX,10,473,0.021142,0.008177,0.034106
read,chirp,B1,deletion,CCONJ,10,336,0.029762,0.011592,0.047932
read,chirp,B1,deletion,DET,42,1004,0.041833,0.029448,0.054217
read,chirp,B1,deletion,INTJ,3,4,0.75,0.325648,1.0
read,chirp,B1,deletion,NOUN,87,1894,0.045935,0.036506,0.055363
read,chirp,B1,deletion,NUM,13,158,0.082278,0.039431,0.125126
read,chirp,B1,deletion,PRON,17,803,0.021171,0.011214,0.031127
read,chirp,B1,deletion,PROPN,22,186,0.11828,0.071869,0.16469
read,chirp,B1,deletion,SCONJ,2,141,0.014184,0.0,0.033703
read,chirp,B1,deletion,SYM,24,45,0.533333,0.387569,0.679098
read,chirp,B1,deletion,VERB,17,850,0.02,0.010588,0.029412
read,chirp,B1,deletion,X,4,5,0.8,0.449385,1.0
