speech_type,model,cef,error_type,source_pos,error_count,reference_count,category_error_rate,category_error_rate_ci_lower,category_error_rate_ci_upper
read,chirp,A1,substitution,ADJ,211,758,0.278364,0.246457,0.310271
read,chirp,A1,substitution,ADP,81,1024,0.079102,0.06257,0.095633
read,chirp,A1,substitution,ADV,75,767,0.097784,0.076763,0.118804
read,chirp,A1,substitution,AUX,40,508,0.07874,0.055319,0.102162
read,chirp,A1,substitution,CCONJ,82,392,0.209184,0.16892,0.249447
read,chirp,A1,substitution,DET,135,964,0.140041,0.118134,0.161949
read,chirp,A1,substitution,INTJ,7,19,0.368421,0.151518,0.585324
read,chirp,A1,substitution,NOUN,568,1946,0.291881,0.271681,0.31208
read,chirp,A1,substitution,NUM,123,193,0.637306,0.569476,0.705136
read,chirp,A1,substitution,PRON,129,894,0.144295,0.121261,0.16733
read,chirp,A1,substitution,PROPN,85,222,0.382883,0.318939,0.446826
read,chirp,A1,substitution,SCONJ,7,135,0.051852,0.014449,0.089255
read,chirp,A1,substitution,SYM,20,94,0.212766,0.13003,0.295502
read,chirp,A1,substitution,VERB,210,907,0.231533,0.204081,0.258984
read,chirp,A1,substitution,X,1,2,0.5,0.0,1.0
read,chirp,A2,substitution,ADJ,448,2031,0.220581,0.202548,0.238614
read,chirp,A2,substitution,ADP,250,2760,0.09058,0.079872,0.101287
read,chirp,A2,substitution,ADV,244,2031,0.120138,0.105998,0.134278
read,chirp,A2,substitution,AUX,109,1318,0.082701,0.067831,0.097571
read,chirp,A2,substitution,CCONJ,150,897,0.167224,0.142803,0.191646
read,chirp,A2,substitution,DET,285,2757,0.103373,0.092009,0.114738
read,chirp,A2,substitution,INTJ,11,34,0.323529,0.166277,0.480782
read,chirp,A2,substitution,NOUN,1484,5271,0.281541,0.269399,0.293682
read,chirp,A2,substitution,NUM,290,457,0.634573,0.590422,0.678724
read,chirp,A2,substitution,PRON,270,2300,0.117391,0.104236,0.130546
read,chirp,A2,substitution,PROPN,272,599,0.45409,0.414218,0.493963
read,chirp,A2,substitution,SCONJ,21,376,0.055851,0.03264,0.079062
read,chirp,A2,substitution,SYM,75,166,0.451807,0.376099,0.527516
read,chirp,A2,substitution,VERB,603,2444,0.246727,0.229635,0.263819
read,chirp,A2,substitution,X,5,12,0.416667,0.137722,0.695611
read,chirp,B1,substitution,ADJ,159,724,0.219613,0.189457,0.249769
read,chirp,B1,substitution,ADP,88,991,0.088799,0.071089,0.10651
read,chirp,B1,substitution,ADV,80,715,0.111888,0.088782,0.134994
read,chirp,B1,substitution,AUX,39,473,0.082452,0.057664,0.10724
read,chirp,B1,substitution,CCONJ,43,336,0.127976,0.092256,0.163696
read,chirp,B1,substitution,DET,124,1004,0.123506,0.103154,0.143858
read,chirp,B1,substitution,INTJ,1,4,0.25,0.0,0.674352
read,chirp,B1,substitution,NOUN,480,1894,0.253432,0.233842,0.273022
read,chirp,B1,substitution,NUM,109,158,0.689873,0.617749,0.761998
read,chirp,B1,substitution,PRON,106,803,0.132005,0.108592,0.155418
read,chirp,B1,substitution,PROPN,85,186,0.456989,0.385399,0.52858
read,chirp,B1,substitution,SCONJ,8,141,0.056738,0.018552,0.094923
read,chirp,B1,substitution,SYM,18,45,0.4,0.256862,0.543138
read,chirp,B1,substitution,VERB,167,850,0.196471,0.169759,0.223182
read,chirp,B1,substitution,X,1,5,0.2,0.0,0.550615
