speech_type,model,cef,error_type,source_pos,error_count,reference_count,category_error_rate,category_error_rate_ci_lower,category_error_rate_ci_upper
read,whisper,A1,substitution,ADJ,239,758,0.315303,0.282226,0.348381
read,whisper,A1,substitution,ADP,104,1024,0.101562,0.083061,0.120064
read,whisper,A1,substitution,ADV,95,767,0.123859,0.100546,0.147173
read,whisper,A1,substitution,AUX,34,508,0.066929,0.045198,0.088661
read,whisper,A1,substitution,CCONJ,64,392,0.163265,0.126676,0.199855
read,whisper,A1,substitution,DET,139,964,0.144191,0.122015,0.166366
read,whisper,A1,substitution,INTJ,6,19,0.315789,0.106777,0.524802
read,whisper,A1,substitution,NOUN,703,1946,0.361254,0.339911,0.382597
read,whisper,A1,substitution,NUM,136,193,0.704663,0.640302,0.769025
read,whisper,A1,substitution,PRON,135,894,0.151007,0.127535,0.174478
read,whisper,A1,substitution,PROPN,85,222,0.382883,0.318939,0.446826
read,whisper,A1,substitution,SCONJ,5,135,0.037037,0.00518,0.068895
read,whisper,A1,substitution,SYM,30,94,0.319149,0.224913,0.413385
read,whisper,A1,substitution,VERB,259,907,0.285557,0.256161,0.314952
read,whisper,A1,substitution,X,1,2,0.5,0.0,1.0
read,whisper,A2,substitution,ADJ,541,2031,0.266371,0.247146,0.285597
read,whisper,A2,substitution,ADP,294,2760,0.106522,0.095012,0.118031
read,whisper,A2,substitution,ADV,263,2031,0.129493,0.114891,0.144095
read,whisper,A2,substitution,AUX,106,1318,0.080425,0.065743,0.095107
read,whisper,A2,substitution,CCONJ,126,897,0.140468,0.117729,0.163208
read,whisper,A2,substitution,DET,334,2757,0.121146,0.108966,0.133326
read,whisper,A2,substitution,INTJ,6,34,0.176471,0.048328,0.304613
read,whisper,A2,substitution,NOUN,1760,5271,0.333902,0.321171,0.346634
read,whisper,A2,substitution,NUM,304,457,0.665208,0.62194,0.708476
read,whisper,A2,substitution,PRON,339,2300,0.147391,0.132903,0.161879
read,whisper,A2,substitution,PROPN,280,599,0.467446,0.427489,0.507402
read,whisper,A2,substitution,SCONJ,21,376,0.055851,0.03264,0.079062
read,whisper,A2,substitution,SYM,64,166,0.385542,0.311499,0.459585
read,whisper,A2,substitution,VERB,712,2444,0.291326,0.273311,0.30934
read,whisper,A2,substitution,X,6,12,0.5,0.217098,0.782902
read,whisper,B1,substitution,ADJ,164,724,0.226519,0.196029,0.25701
read,whisper,B1,substitution,ADP,83,991,0.083754,0.066506,0.101001
read,whisper,B1,substitution,ADV,69,715,0.096503,0.074859,0.118148
read,whisper,B1,substitution,AUX,37,473,0.078224,0.054024,0.102424
read,whisper,B1,substitution,CCONJ,34,336,0.10119,0.068943,0.133438
read,whisper,B1,substitution,DET,125,1004,0.124502,0.10408,0.144924
read,whisper,B1,substitution,INTJ,2,4,0.5,0.01,0.99
read,whisper,B1,substitution,NOUN,580,1894,0.30623,0.285472,0.326989
read,whisper,B1,substitution,NUM,108,158,0.683544,0.611023,0.756066
read,whisper,B1,substitution,PRON,114,803,0.141968,0.117827,0.166108
read,whisper,B1,substitution,PROPN,84,186,0.451613,0.380093,0.523133
read,whisper,B1,substitution,SCONJ,5,141,0.035461,0.004934,0.065988
read,whisper,B1,substitution,SYM,19,45,0.422222,0.277911,0.566534
read,whisper,B1,substitution,VERB,197,850,0.231765,0.203397,0.260132
read,whisper,B1,substitution,X,2,5,0.4,0.0,0.829414
