speech,model,cef,source_pos,count,percentage
read,whisper,A1,ADJ,35,7.2016
read,whisper,A1,ADP,43,8.8477
read,whisper,A1,ADV,32,6.5844
read,whisper,A1,AUX,11,2.2634
read,whisper,A1,CCONJ,17,3.4979
read,whisper,A1,DET,56,11.5226
read,whisper,A1,INTJ,5,1.0288
read,whisper,A1,NOUN,75,15.4321
read,whisper,A1,NUM,17,3.4979
read,whisper,A1,PRON,39,8.0247
read,whisper,A1,PROPN,56,11.5226
read,whisper,A1,SCONJ,4,0.823
read,whisper,A1,SYM,56,11.5226
read,whisper,A1,VERB,39,8.0247
read,whisper,A1,X,1,0.2058
read,whisper,A2,ADJ,110,8.8781
read,whisper,A2,ADP,105,8.4746
read,whisper,A2,ADV,78,6.2954
read,whisper,A2,AUX,33,2.6634
read,whisper,A2,CCONJ,32,2.5827
read,whisper,A2,DET,137,11.0573
read,whisper,A2,INTJ,13,1.0492
read,whisper,A2,NOUN,288,23.2446
read,whisper,A2,NUM,52,4.1969
read,whisper,A2,PRON,96,7.7482
read,whisper,A2,PROPN,111,8.9588
read,whisper,A2,SCONJ,7,0.565
read,whisper,A2,SYM,88,7.1025
read,whisper,A2,VERB,84,6.7797
read,whisper,A2,X,5,0.4036
read,whisper,B1,ADJ,24,6.9565
read,whisper,B1,ADP,27,7.8261
read,whisper,B1,ADV,28,8.1159
read,whisper,B1,AUX,11,3.1884
read,whisper,B1,CCONJ,16,4.6377
read,whisper,B1,DET,41,11.8841
read,whisper,B1,INTJ,2,0.5797
read,whisper,B1,NOUN,87,25.2174
read,whisper,B1,NUM,13,3.7681
read,whisper,B1,PRON,26,7.5362
read,whisper,B1,PROPN,27,7.8261
read,whisper,B1,SCONJ,4,1.1594
read,whisper,B1,SYM,22,6.3768
read,whisper,B1,VERB,14,4.058
read,whisper,B1,X,3,0.8696
