speech,model,cef,destination_pos,count,percentage
read,whisper,A1,ADJ,25,7.3529
read,whisper,A1,ADP,54,15.8824
read,whisper,A1,ADV,21,6.1765
read,whisper,A1,AUX,15,4.4118
read,whisper,A1,CCONJ,22,6.4706
read,whisper,A1,DET,30,8.8235
read,whisper,A1,INTJ,5,1.4706
read,whisper,A1,NOUN,58,17.0588
read,whisper,A1,NUM,11,3.2353
read,whisper,A1,PRON,40,11.7647
read,whisper,A1,PROPN,17,5.0
read,whisper,A1,SCONJ,1,0.2941
read,whisper,A1,SYM,15,4.4118
read,whisper,A1,VERB,26,7.6471
read,whisper,A1,X,0,0.0
read,whisper,A2,ADJ,65,6.8206
read,whisper,A2,ADP,133,13.9559
read,whisper,A2,ADV,82,8.6044
read,whisper,A2,AUX,34,3.5677
read,whisper,A2,CCONJ,60,6.2959
read,whisper,A2,DET,113,11.8573
read,whisper,A2,INTJ,25,2.6233
read,whisper,A2,NOUN,124,13.0115
read,whisper,A2,NUM,20,2.0986
read,whisper,A2,PRON,150,15.7398
read,whisper,A2,PROPN,18,1.8888
read,whisper,A2,SCONJ,7,0.7345
read,whisper,A2,SYM,20,2.0986
read,whisper,A2,VERB,101,10.5981
read,whisper,A2,X,1,0.1049
read,whisper,B1,ADJ,22,7.0513
read,whisper,B1,ADP,52,16.6667
read,whisper,B1,ADV,17,5.4487
read,whisper,B1,AUX,14,4.4872
read,whisper,B1,CCONJ,24,7.6923
read,whisper,B1,DET,40,12.8205
read,whisper,B1,INTJ,1,0.3205
read,whisper,B1,NOUN,39,12.5
read,whisper,B1,NUM,7,2.2436
read,whisper,B1,PRON,46,14.7436
read,whisper,B1,PROPN,10,3.2051
read,whisper,B1,SCONJ,3,0.9615
read,whisper,B1,SYM,5,1.6026
read,whisper,B1,VERB,32,10.2564
read,whisper,B1,X,0,0.0
