speech,model,cef,pos_tag,count,percentage
read,whisper,A1,ADJ,758,8.5892
read,whisper,A1,ADP,1024,11.6034
read,whisper,A1,ADV,767,8.6912
read,whisper,A1,AUX,508,5.7564
read,whisper,A1,CCONJ,392,4.4419
read,whisper,A1,DET,964,10.9235
read,whisper,A1,INTJ,19,0.2153
read,whisper,A1,NOUN,1946,22.051
read,whisper,A1,NUM,193,2.187
read,whisper,A1,PRON,894,10.1303
read,whisper,A1,PROPN,222,2.5156
read,whisper,A1,SCONJ,135,1.5297
read,whisper,A1,SYM,94,1.0652
read,whisper,A1,VERB,907,10.2776
read,whisper,A1,X,2,0.0227
read,whisper,A2,ADJ,2031,8.6599
read,whisper,A2,ADP,2760,11.7682
read,whisper,A2,ADV,2031,8.6599
read,whisper,A2,AUX,1318,5.6198
read,whisper,A2,CCONJ,897,3.8247
read,whisper,A2,DET,2757,11.7554
read,whisper,A2,INTJ,34,0.145
read,whisper,A2,NOUN,5271,22.4747
read,whisper,A2,NUM,457,1.9486
read,whisper,A2,PRON,2300,9.8068
read,whisper,A2,PROPN,599,2.554
read,whisper,A2,SCONJ,376,1.6032
read,whisper,A2,SYM,166,0.7078
read,whisper,A2,VERB,2444,10.4208
read,whisper,A2,X,12,0.0512
read,whisper,B1,ADJ,724,8.6925
read,whisper,B1,ADP,991,11.8982
read,whisper,B1,ADV,715,8.5845
read,whisper,B1,AUX,473,5.679
read,whisper,B1,CCONJ,336,4.0341
read,whisper,B1,DET,1004,12.0543
read,whisper,B1,INTJ,4,0.048
read,whisper,B1,NOUN,1894,22.7398
read,whisper,B1,NUM,158,1.897
read,whisper,B1,PRON,803,9.641
read,whisper,B1,PROPN,186,2.2332
read,whisper,B1,SCONJ,141,1.6929
read,whisper,B1,SYM,45,0.5403
read,whisper,B1,VERB,850,10.2053
read,whisper,B1,X,5,0.06
