speech,model,cef,destination_pos,count,percentage
read,whisper,A1,ADJ,192,9.4349
read,whisper,A1,ADP,121,5.9459
read,whisper,A1,ADV,80,3.9312
read,whisper,A1,AUX,58,2.8501
read,whisper,A1,CCONJ,76,3.7346
read,whisper,A1,DET,242,11.8919
read,whisper,A1,INTJ,10,0.4914
read,whisper,A1,NOUN,633,31.1057
read,whisper,A1,NUM,26,1.2776
read,whisper,A1,PRON,107,5.258
read,whisper,A1,PROPN,168,8.2555
read,whisper,A1,SCONJ,6,0.2948
read,whisper,A1,SYM,43,2.113
read,whisper,A1,VERB,273,13.4152
read,whisper,A1,X,0,0.0
read,whisper,A2,ADJ,528,10.2405
read,whisper,A2,ADP,288,5.5857
read,whisper,A2,ADV,242,4.6936
read,whisper,A2,AUX,150,2.9092
read,whisper,A2,CCONJ,180,3.4911
read,whisper,A2,DET,537,10.4151
read,whisper,A2,INTJ,22,0.4267
read,whisper,A2,NOUN,1545,29.9651
read,whisper,A2,NUM,56,1.0861
read,whisper,A2,PRON,385,7.467
read,whisper,A2,PROPN,315,6.1094
read,whisper,A2,SCONJ,42,0.8146
read,whisper,A2,SYM,93,1.8037
read,whisper,A2,VERB,769,14.9147
read,whisper,A2,X,4,0.0776
read,whisper,B1,ADJ,152,9.3654
read,whisper,B1,ADP,99,6.0998
read,whisper,B1,ADV,68,4.1898
read,whisper,B1,AUX,43,2.6494
read,whisper,B1,CCONJ,59,3.6352
read,whisper,B1,DET,209,12.8774
read,whisper,B1,INTJ,4,0.2465
read,whisper,B1,NOUN,510,31.4233
read,whisper,B1,NUM,14,0.8626
read,whisper,B1,PRON,109,6.716
read,whisper,B1,PROPN,97,5.9766
read,whisper,B1,SCONJ,12,0.7394
read,whisper,B1,SYM,24,1.4787
read,whisper,B1,VERB,223,13.74
read,whisper,B1,X,0,0.0
