speech,model,cef,source_pos,count,percentage
read,whisper,A1,ADJ,239,11.7445
read,whisper,A1,ADP,104,5.1106
read,whisper,A1,ADV,95,4.6683
read,whisper,A1,AUX,34,1.6708
read,whisper,A1,CCONJ,64,3.145
read,whisper,A1,DET,139,6.8305
read,whisper,A1,INTJ,6,0.2948
read,whisper,A1,NOUN,703,34.5455
read,whisper,A1,NUM,136,6.683
read,whisper,A1,PRON,135,6.6339
read,whisper,A1,PROPN,85,4.1769
read,whisper,A1,SCONJ,5,0.2457
read,whisper,A1,SYM,30,1.4742
read,whisper,A1,VERB,259,12.7273
read,whisper,A1,X,1,0.0491
read,whisper,A2,ADJ,541,10.4926
read,whisper,A2,ADP,294,5.7021
read,whisper,A2,ADV,263,5.1009
read,whisper,A2,AUX,106,2.0559
read,whisper,A2,CCONJ,126,2.4438
read,whisper,A2,DET,334,6.4779
read,whisper,A2,INTJ,6,0.1164
read,whisper,A2,NOUN,1760,34.135
read,whisper,A2,NUM,304,5.896
read,whisper,A2,PRON,339,6.5749
read,whisper,A2,PROPN,280,5.4306
read,whisper,A2,SCONJ,21,0.4073
read,whisper,A2,SYM,64,1.2413
read,whisper,A2,VERB,712,13.8092
read,whisper,A2,X,6,0.1164
read,whisper,B1,ADJ,164,10.1047
read,whisper,B1,ADP,83,5.114
read,whisper,B1,ADV,69,4.2514
read,whisper,B1,AUX,37,2.2797
read,whisper,B1,CCONJ,34,2.0949
read,whisper,B1,DET,125,7.7018
read,whisper,B1,INTJ,2,0.1232
read,whisper,B1,NOUN,580,35.7363
read,whisper,B1,NUM,108,6.6543
read,whisper,B1,PRON,114,7.024
read,whisper,B1,PROPN,84,5.1756
read,whisper,B1,SCONJ,5,0.3081
read,whisper,B1,SYM,19,1.1707
read,whisper,B1,VERB,197,12.138
read,whisper,B1,X,2,0.1232
