utterance_length,utterance_count,average_wer,average_wer_ci_lower,average_wer_ci_upper,insertion_rate,insertion_rate_ci_lower,insertion_rate_ci_upper,deletion_rate,deletion_rate_ci_lower,deletion_rate_ci_upper,substitution_rate,substitution_rate_ci_lower,substitution_rate_ci_upper
1,1148,0.527875,0.483725,0.572024,0.19338,0.162774,0.223986,0.005226,0.001054,0.009399,0.329268,0.302071,0.356465
2,1306,0.409265,0.38193,0.4366,0.086524,0.07291,0.100137,0.062021,0.052892,0.071151,0.26072,0.24203,0.27941
3,1326,0.335344,0.314087,0.356602,0.050025,0.041939,0.058111,0.063348,0.055278,0.071419,0.221971,0.206454,0.237487
4,960,0.282031,0.262126,0.301936,0.027865,0.022292,0.033437,0.073177,0.063504,0.08285,0.18099,0.165911,0.196069
5,649,0.263174,0.241094,0.285254,0.02527,0.01942,0.031119,0.068105,0.057605,0.078605,0.1698,0.152818,0.186781
6,407,0.276003,0.249941,0.302066,0.027437,0.019985,0.034888,0.085995,0.071272,0.100718,0.162572,0.14339,0.181753
7,225,0.308571,0.272895,0.344248,0.018413,0.011439,0.025386,0.115556,0.093009,0.138102,0.174603,0.147769,0.201437
8,97,0.275773,0.223997,0.327549,0.012887,0.004478,0.021295,0.128866,0.091302,0.16643,0.134021,0.098613,0.169428
9,43,0.289406,0.200901,0.37791,0.018088,0.005682,0.030494,0.100775,0.052805,0.148746,0.170543,0.108899,0.232186
10,18,0.161111,0.07412,0.248102,0.005556,0.0,0.016444,0.111111,0.024482,0.19774,0.044444,0.020823,0.068066
11,3,0.090909,0.0,0.269091,0.0,0.0,0.0,0.030303,0.0,0.089697,0.060606,0.0,0.179394
12,5,0.316666,0.113975,0.519358,0.0,0.0,0.0,0.2,0.031838,0.368162,0.116667,0.0,0.268136
