utterance_id,user_id,utterance_length,substitutions,deletions,insertions,wer,insertion_rate,deletion_rate,substitution_rate
n000016-fn000029-1007.6059-1008.9621,n000016,2,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000029-1016.7017-1019.1551,n000016,3,1,0,0,0.333333,0.0,0.0,0.333333
n000016-fn000029-1020.4421-1022.1017,n000016,3,1,0,0,0.333333,0.0,0.0,0.333333
n000016-fn000029-1024.2720-1026.8388,n000016,2,1,0,0,0.5,0.0,0.0,0.5
n000016-fn000029-1026.8388-1029.0448,n000016,4,1,0,1,0.5,0.25,0.0,0.25
n000016-fn000029-1031.4360-1032.4256,n000016,2,1,0,0,0.5,0.0,0.0,0.5
n000016-fn000029-1032.4256-1034.9923,n000016,2,2,0,0,1.0,0.0,0.0,1.0
n000016-fn000029-1035.9772-1037.2039,n000016,1,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000029-1037.5956-1039.3068,n000016,2,1,0,0,0.5,0.0,0.0,0.5
n000016-fn000029-1040.0621-1041.1239,n000016,1,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000029-1041.1239-1043.2474,n000016,3,0,1,0,0.333333,0.0,0.333333,0.0
n000016-fn000029-105.7315-107.4541,n000016,4,2,0,0,0.5,0.0,0.0,0.5
n000016-fn000029-1050.0414-1053.2164,n000016,3,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000029-115.1026-116.1340,n000016,1,1,0,0,1.0,0.0,0.0,1.0
n000016-fn000029-121.3630-125.2456,n000016,5,1,1,0,0.4,0.0,0.2,0.2
n000016-fn000029-126.5006-128.6281,n000016,2,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000029-131.2112-132.2855,n000016,1,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000029-147.3639-149.0552,n000016,3,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000029-150.2448-153.2871,n000016,4,0,1,0,0.25,0.0,0.25,0.0
n000016-fn000029-153.2871-154.6149,n000016,2,1,0,0,0.5,0.0,0.0,0.5
n000016-fn000029-155.2125-157.3747,n000016,5,4,0,1,1.0,0.2,0.0,0.8
n000016-fn000029-158.7467-161.1188,n000016,3,1,0,0,0.333333,0.0,0.0,0.333333
n000016-fn000029-161.1188-162.3681,n000016,3,1,2,0,1.0,0.0,0.666667,0.333333
n000016-fn000029-164.7184-165.7698,n000016,1,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000029-173.3562-175.1086,n000016,3,1,0,1,0.666667,0.333333,0.0,0.333333
n000016-fn000029-178.5822-179.6852,n000016,3,2,1,0,1.0,0.0,0.333333,0.666667
n000016-fn000029-181.2417-182.3035,n000016,1,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000029-190.0017-192.0943,n000016,2,2,0,1,1.5,0.5,0.0,1.0
