utterance_length,utterance_count,average_wer,average_wer_ci_lower,average_wer_ci_upper,insertion_rate,insertion_rate_ci_lower,insertion_rate_ci_upper,deletion_rate,deletion_rate_ci_lower,deletion_rate_ci_upper,substitution_rate,substitution_rate_ci_lower,substitution_rate_ci_upper
1,1148,0.611498,0.56162,0.661376,0.243902,0.209668,0.278136,0.013066,0.006494,0.019638,0.35453,0.326845,0.382214
2,1306,0.473966,0.443655,0.504278,0.111792,0.095197,0.128387,0.063936,0.054814,0.073057,0.298239,0.27863,0.317848
3,1326,0.37456,0.352442,0.396678,0.076923,0.066999,0.086847,0.053293,0.045816,0.06077,0.244344,0.228498,0.26019
4,960,0.347135,0.326291,0.36798,0.048958,0.040995,0.056922,0.082812,0.072875,0.09275,0.215365,0.199406,0.231324
5,649,0.33621,0.312573,0.359846,0.048382,0.040385,0.056379,0.088752,0.077344,0.10016,0.199076,0.181925,0.216226
6,407,0.345618,0.318896,0.372341,0.03276,0.024875,0.040645,0.111794,0.096172,0.127415,0.201065,0.181077,0.221053
7,225,0.366984,0.328966,0.405002,0.030476,0.020675,0.040278,0.129524,0.10832,0.150728,0.206984,0.177321,0.236648
8,97,0.39433,0.335733,0.452927,0.036082,0.019645,0.05252,0.167526,0.131641,0.203411,0.190722,0.145433,0.23601
9,43,0.397933,0.311502,0.484364,0.041344,0.017282,0.065405,0.129199,0.085758,0.17264,0.22739,0.160987,0.293793
10,18,0.255556,0.168444,0.342667,0.022222,0.002459,0.041985,0.161111,0.075576,0.246647,0.072222,0.025202,0.119243
11,3,0.151515,0.0,0.308656,0.030303,0.0,0.089697,0.030303,0.0,0.089697,0.090909,0.0,0.193782
12,5,0.55,0.33956,0.76044,0.0,0.0,0.0,0.466667,0.306633,0.6267,0.083333,0.0,0.209851
