utterance_id,user_id,utterance_length,substitutions,deletions,insertions,wer,insertion_rate,deletion_rate,substitution_rate
n000016-fn000030-101.4930-103.8624,n000016,2,2,0,1,1.5,0.5,0.0,1.0
n000016-fn000030-103.8624-106.5010,n000016,4,1,0,0,0.25,0.0,0.0,0.25
n000016-fn000030-107.0624-109.1009,n000016,2,0,1,0,0.5,0.0,0.5,0.0
n000016-fn000030-109.7011-111.7600,n000016,3,1,1,0,0.666667,0.0,0.333333,0.333333
n000016-fn000030-111.7600-114.0986,n000016,4,2,0,0,0.5,0.0,0.0,0.5
n000016-fn000030-114.5581-116.1930,n000016,2,2,0,1,1.5,0.5,0.0,1.0
n000016-fn000030-116.6276-119.2145,n000016,5,2,0,4,1.2,0.8,0.0,0.4
n000016-fn000030-119.6207-122.0730,n000016,5,1,0,0,0.2,0.0,0.0,0.2
n000016-fn000030-122.0730-124.9600,n000016,3,3,0,0,1.0,0.0,0.0,1.0
n000016-fn000030-130.4895-132.3106,n000016,4,0,1,0,0.25,0.0,0.25,0.0
n000016-fn000030-132.3106-134.2663,n000016,3,0,1,0,0.333333,0.0,0.333333,0.0
n000016-fn000030-134.2663-135.7576,n000016,1,1,0,0,1.0,0.0,0.0,1.0
n000016-fn000030-135.7576-139.1827,n000016,5,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000030-139.6378-142.7007,n000016,3,2,0,3,1.666667,1.0,0.0,0.666667
n000016-fn000030-143.0937-144.1802,n000016,1,1,0,0,1.0,0.0,0.0,1.0
n000016-fn000030-144.9045-147.3153,n000016,3,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000030-147.8518-151.0802,n000016,6,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000030-151.4450-154.2596,n000016,2,1,0,1,1.0,0.5,0.0,0.5
n000016-fn000030-154.6424-156.7205,n000016,3,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000030-156.7205-158.7280,n000016,2,2,0,0,1.0,0.0,0.0,1.0
n000016-fn000030-158.7280-161.4209,n000016,4,3,0,1,1.0,0.25,0.0,0.75
n000016-fn000030-161.4209-162.8935,n000016,3,1,0,0,0.333333,0.0,0.0,0.333333
n000016-fn000030-163.3074-164.7664,n000016,1,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000030-165.1238-167.8866,n000016,5,1,1,0,0.4,0.0,0.2,0.2
n000016-fn000030-168.4868-170.5296,n000016,5,1,0,0,0.2,0.0,0.0,0.2
n000016-fn000030-170.9921-173.0927,n000016,4,1,0,1,0.5,0.25,0.0,0.25
n000016-fn000030-173.5004-176.1597,n000016,6,1,0,0,0.166667,0.0,0.0,0.166667
n000016-fn000030-176.6150-179.0895,n000016,3,2,0,0,0.666667,0.0,0.0,0.666667
n000016-fn000030-179.5283-182.2083,n000016,4,2,0,0,0.5,0.0,0.0,0.5
n000016-fn000030-18.7849-20.2129,n000016,3,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000030-185.3743-188.2303,n000016,4,1,2,0,0.75,0.0,0.5,0.25
n000016-fn000030-188.6173-190.7386,n000016,3,1,0,1,0.666667,0.333333,0.0,0.333333
n000016-fn000030-190.7386-194.0395,n000016,3,2,0,0,0.666667,0.0,0.0,0.666667
n000016-fn000030-194.9320-197.9224,n000016,9,3,1,0,0.444444,0.0,0.111111,0.333333
n000016-fn000030-197.9224-199.6843,n000016,4,0,1,0,0.25,0.0,0.25,0.0
n000016-fn000030-199.6843-201.8263,n000016,4,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000030-20.8202-23.1898,n000016,5,2,0,0,0.4,0.0,0.0,0.4
n000016-fn000030-201.8263-204.6967,n000016,6,1,0,0,0.166667,0.0,0.0,0.166667
n000016-fn000030-205.3144-207.3115,n000016,3,0,0,0,0.0,0.0,0.0,0.0
