utterance_length,utterance_count,average_wer,average_wer_ci_lower,average_wer_ci_upper,insertion_rate,insertion_rate_ci_lower,insertion_rate_ci_upper,deletion_rate,deletion_rate_ci_lower,deletion_rate_ci_upper,substitution_rate,substitution_rate_ci_lower,substitution_rate_ci_upper
1,1131,0.71618,0.670774,0.761586,0.175066,0.14769,0.202443,0.000884,0.0,0.002617,0.54023,0.511171,0.569289
2,1998,0.474474,0.453414,0.495535,0.056557,0.048024,0.065089,0.084585,0.076363,0.092806,0.333333,0.318228,0.348439
3,2463,0.338205,0.323449,0.352962,0.032887,0.028193,0.037581,0.067533,0.061133,0.073933,0.237786,0.22688,0.248692
4,2348,0.25394,0.241384,0.266495,0.019165,0.016153,0.022177,0.051214,0.045793,0.056635,0.18356,0.174068,0.193053
5,1493,0.223845,0.210409,0.23728,0.014334,0.011233,0.017434,0.049967,0.04383,0.056103,0.159545,0.149424,0.169666
6,1019,0.182041,0.167837,0.196246,0.008505,0.005912,0.011098,0.039418,0.033315,0.04552,0.134118,0.123394,0.144843
7,476,0.144058,0.127175,0.16094,0.009604,0.005446,0.013761,0.027011,0.020428,0.033594,0.107443,0.094721,0.120165
8,228,0.138158,0.117124,0.159192,0.002193,5.8e-05,0.004328,0.024671,0.016048,0.033294,0.111294,0.094394,0.128194
9,58,0.174329,0.122921,0.225738,0.001916,0.0,0.00567,0.070881,0.026809,0.114954,0.101533,0.073553,0.129512
10,39,0.094872,0.047139,0.142605,0.002564,0.0,0.00759,0.015385,0.00184,0.028929,0.076923,0.03851,0.115336
11,5,0.109091,0.0,0.240027,0.0,0.0,0.0,0.018182,0.0,0.053818,0.090909,0.0,0.188503
13,1,0.076923,0.076923,0.076923,0.0,0.0,0.0,0.0,0.0,0.0,0.076923,0.076923,0.076923
