utterance_length,utterance_count,average_wer,average_wer_ci_lower,average_wer_ci_upper,insertion_rate,insertion_rate_ci_lower,insertion_rate_ci_upper,deletion_rate,deletion_rate_ci_lower,deletion_rate_ci_upper,substitution_rate,substitution_rate_ci_lower,substitution_rate_ci_upper
1,1131,0.870027,0.812947,0.927106,0.302387,0.262527,0.342248,0.004421,0.000553,0.008289,0.563218,0.534299,0.592138
2,1998,0.541041,0.518673,0.563409,0.094344,0.083094,0.105595,0.072573,0.064724,0.080421,0.374124,0.358731,0.389517
3,2463,0.367167,0.35248,0.381855,0.044526,0.03912,0.049931,0.061443,0.055356,0.067529,0.261199,0.250159,0.27224
4,2348,0.300681,0.287856,0.313507,0.030664,0.026678,0.03465,0.055792,0.050361,0.061223,0.214225,0.204642,0.223808
5,1493,0.255459,0.241464,0.269454,0.022505,0.018564,0.026446,0.050904,0.04485,0.056958,0.18205,0.171557,0.192542
6,1019,0.211645,0.196896,0.226395,0.016356,0.01284,0.019872,0.047923,0.040746,0.0551,0.147367,0.136641,0.158093
7,476,0.180372,0.163002,0.197742,0.011405,0.007456,0.015353,0.035414,0.028478,0.04235,0.133553,0.119883,0.147224
8,228,0.163377,0.140017,0.186737,0.004934,0.001768,0.008101,0.037829,0.026946,0.048712,0.120614,0.101908,0.13932
9,58,0.222222,0.166556,0.277888,0.003831,0.0,0.009095,0.084291,0.043389,0.125194,0.1341,0.097472,0.170727
10,39,0.138462,0.078819,0.198104,0.002564,0.0,0.00759,0.017949,0.003781,0.032117,0.117949,0.066091,0.169806
11,5,0.036364,0.0,0.080009,0.0,0.0,0.0,0.0,0.0,0.0,0.036364,0.0,0.080009
13,1,0.230769,0.230769,0.230769,0.0,0.0,0.0,0.0,0.0,0.0,0.230769,0.230769,0.230769
