speech,utterance_length,utterance_count,mean_wer,ci_lower,ci_upper
read,1,1131,0.71618,0.670774,0.761586
read,2,1998,0.474474,0.453414,0.495535
read,3,2463,0.338205,0.323449,0.352962
read,4,2348,0.25394,0.241384,0.266495
read,5,1493,0.223845,0.210409,0.23728
read,6,1019,0.182041,0.167837,0.196246
read,7,476,0.144058,0.127175,0.16094
read,8,228,0.138158,0.117124,0.159192
read,9,58,0.174329,0.122921,0.225738
read,10,39,0.094872,0.047139,0.142605
read,11,5,0.109091,0.0,0.240027
read,13,1,0.076923,0.076923,0.076923
HMI,1,1148,0.527875,0.483725,0.572024
HMI,2,1306,0.409265,0.38193,0.4366
HMI,3,1326,0.335344,0.314087,0.356602
HMI,4,960,0.282031,0.262126,0.301936
HMI,5,649,0.263174,0.241094,0.285254
HMI,6,407,0.276003,0.249941,0.302066
HMI,7,225,0.308571,0.272895,0.344248
HMI,8,97,0.275773,0.223997,0.327549
HMI,9,43,0.289406,0.200901,0.37791
HMI,10,18,0.161111,0.07412,0.248102
HMI,11,3,0.090909,0.0,0.269091
HMI,12,5,0.316666,0.113975,0.519358
