speech,utterance_length,utterance_count,mean_wer,ci_lower,ci_upper
read,1,1131,0.870027,0.812947,0.927106
read,2,1998,0.541041,0.518673,0.563409
read,3,2463,0.367167,0.35248,0.381855
read,4,2348,0.300681,0.287856,0.313507
read,5,1493,0.255459,0.241464,0.269454
read,6,1019,0.211645,0.196896,0.226395
read,7,476,0.180372,0.163002,0.197742
read,8,228,0.163377,0.140017,0.186737
read,9,58,0.222222,0.166556,0.277888
read,10,39,0.138462,0.078819,0.198104
read,11,5,0.036364,0.0,0.080009
read,13,1,0.230769,0.230769,0.230769
HMI,1,1148,0.611498,0.56162,0.661376
HMI,2,1306,0.473966,0.443655,0.504278
HMI,3,1326,0.37456,0.352442,0.396678
HMI,4,960,0.347135,0.326291,0.36798
HMI,5,649,0.33621,0.312573,0.359846
HMI,6,407,0.345618,0.318896,0.372341
HMI,7,225,0.366984,0.328966,0.405002
HMI,8,97,0.39433,0.335733,0.452927
HMI,9,43,0.397933,0.311502,0.484364
HMI,10,18,0.255556,0.168444,0.342667
HMI,11,3,0.151515,0.0,0.308656
HMI,12,5,0.55,0.33956,0.76044
