dep_tag,count,percentage
ROOT,6895,34.9291
acl,9,0.0456
acl:relcl,16,0.0811
advcl,65,0.3293
advmod,1829,9.2655
amod,649,3.2877
appos,44,0.2229
aux,224,1.1348
aux:pass,5,0.0253
case,1209,6.1246
cc,430,2.1783
ccomp,50,0.2533
compound:prt,82,0.4154
conj,122,0.6180
cop,514,2.6039
csubj,5,0.0253
dep,19,0.0963
det,1320,6.6869
expl,96,0.4863
fixed,398,2.0162
flat,62,0.3141
iobj,11,0.0557
mark,618,3.1307
nmod,264,1.3374
nmod:poss,237,1.2006
nsubj,2521,12.7710
nsubj:pass,5,0.0253
nummod,108,0.5471
obj,711,3.6018
obl,543,2.7508
parataxis,195,0.9878
punct,96,0.4863
xcomp,388,1.9656
TOTAL,19740,100.0000
