dep_tag,count,percentage
ROOT,7147,35.2486
acl,10,0.0493
acl:relcl,22,0.1085
advcl,67,0.3304
advmod,1860,9.1734
amod,731,3.6052
appos,55,0.2713
aux,221,1.0900
aux:pass,3,0.0148
case,1223,6.0318
cc,468,2.3081
ccomp,53,0.2614
compound:prt,91,0.4488
conj,157,0.7743
cop,452,2.2292
csubj,3,0.0148
dep,22,0.1085
det,1266,6.2438
expl,49,0.2417
expl:pv,1,0.0049
fixed,398,1.9629
flat,124,0.6116
iobj,16,0.0789
mark,630,3.1071
nmod,314,1.5486
nmod:poss,197,0.9716
nsubj,2454,12.1030
nsubj:pass,7,0.0345
nummod,214,1.0554
obj,734,3.6200
obl,580,2.8605
parataxis,208,1.0258
punct,101,0.4981
xcomp,398,1.9629
TOTAL,20276,100.0000
