source_pos,destination_pos,pair,count,percentage,source_category_error_rate
NOUN,NOUN,NOUN -> NOUN,413,10.2051,0.132840
PRON,PRON,PRON -> PRON,246,6.0786,0.076923
VERB,VERB,VERB -> VERB,186,4.5960,0.064138
ADJ,ADJ,ADJ -> ADJ,151,3.7312,0.088667
VERB,NOUN,VERB -> NOUN,116,2.8663,0.040000
NOUN,VERB,NOUN -> VERB,109,2.6934,0.035060
PROPN,PROPN,PROPN -> PROPN,93,2.2980,0.117871
DET,DET,DET -> DET,77,1.9026,0.053509
NOUN,PRON,NOUN -> PRON,72,1.7791,0.023159
PROPN,NOUN,PROPN -> NOUN,67,1.6555,0.084918
NUM,DET,NUM -> DET,65,1.6061,0.213816
PROPN,PRON,PROPN -> PRON,63,1.5567,0.079848
NOUN,PROPN,NOUN -> PROPN,62,1.5320,0.019942
VERB,PRON,VERB -> PRON,62,1.5320,0.021379
ADV,PRON,ADV -> PRON,59,1.4579,0.029949
ADJ,NOUN,ADJ -> NOUN,56,1.3837,0.032883
NOUN,ADJ,NOUN -> ADJ,52,1.2849,0.016726
NOUN,ADV,NOUN -> ADV,52,1.2849,0.016726
ADP,DET,ADP -> DET,51,1.2602,0.029226
ADV,NOUN,ADV -> NOUN,50,1.2355,0.025381
ADP,ADP,ADP -> ADP,48,1.1861,0.027507
VERB,AUX,VERB -> AUX,41,1.0131,0.014138
ADV,ADV,ADV -> ADV,38,0.9390,0.019289
NOUN,AUX,NOUN -> AUX,38,0.9390,0.012223
PRON,ADV,PRON -> ADV,37,0.9143,0.011570
PRON,DET,PRON -> DET,37,0.9143,0.011570
DET,PRON,DET -> PRON,36,0.8895,0.025017
NOUN,ADP,NOUN -> ADP,34,0.8401,0.010936
ADJ,VERB,ADJ -> VERB,33,0.8154,0.019378
CCONJ,DET,CCONJ -> DET,33,0.8154,0.045961
VERB,ADV,VERB -> ADV,33,0.8154,0.011379
ADJ,ADV,ADJ -> ADV,32,0.7907,0.018790
ADP,NOUN,ADP -> NOUN,32,0.7907,0.018338
ADV,VERB,ADV -> VERB,32,0.7907,0.016244
ADJ,DET,ADJ -> DET,31,0.7660,0.018203
ADV,ADJ,ADV -> ADJ,31,0.7660,0.015736
DET,ADP,DET -> ADP,31,0.7660,0.021543
PRON,NOUN,PRON -> NOUN,29,0.7166,0.009068
PRON,SYM,PRON -> SYM,29,0.7166,0.009068
SYM,PRON,SYM -> PRON,29,0.7166,0.102473
ADV,DET,ADV -> DET,28,0.6919,0.014213
NOUN,DET,NOUN -> DET,28,0.6919,0.009006
PRON,VERB,PRON -> VERB,28,0.6919,0.008755
VERB,ADJ,VERB -> ADJ,28,0.6919,0.009655
ADP,PRON,ADP -> PRON,27,0.6672,0.015473
DET,NOUN,DET -> NOUN,25,0.6177,0.017373
NOUN,SYM,NOUN -> SYM,25,0.6177,0.008041
VERB,ADP,VERB -> ADP,25,0.6177,0.008621
AUX,AUX,AUX -> AUX,23,0.5683,0.022908
VERB,DET,VERB -> DET,22,0.5436,0.007586
DET,AUX,DET -> AUX,21,0.5189,0.014593
CCONJ,ADP,CCONJ -> ADP,20,0.4942,0.027855
PROPN,ADV,PROPN -> ADV,20,0.4942,0.025349
ADJ,PRON,ADJ -> PRON,19,0.4695,0.011157
ADV,ADP,ADV -> ADP,19,0.4695,0.009645
DET,ADV,DET -> ADV,19,0.4695,0.013204
NOUN,INTJ,NOUN -> INTJ,19,0.4695,0.006111
PRON,ADP,PRON -> ADP,19,0.4695,0.005941
PROPN,ADP,PROPN -> ADP,18,0.4448,0.022814
DET,CCONJ,DET -> CCONJ,17,0.4201,0.011814
PROPN,VERB,PROPN -> VERB,17,0.4201,0.021546
ADP,ADV,ADP -> ADV,16,0.3954,0.009169
ADV,AUX,ADV -> AUX,16,0.3954,0.008122
AUX,PRON,AUX -> PRON,16,0.3954,0.015936
ADJ,AUX,ADJ -> AUX,15,0.3706,0.008808
PROPN,ADJ,PROPN -> ADJ,15,0.3706,0.019011
VERB,PROPN,VERB -> PROPN,15,0.3706,0.005172
ADJ,PROPN,ADJ -> PROPN,14,0.3459,0.008221
ADP,SYM,ADP -> SYM,14,0.3459,0.008023
ADV,PROPN,ADV -> PROPN,14,0.3459,0.007107
AUX,NOUN,AUX -> NOUN,14,0.3459,0.013944
SYM,INTJ,SYM -> INTJ,14,0.3459,0.049470
ADJ,ADP,ADJ -> ADP,13,0.3212,0.007634
ADP,CCONJ,ADP -> CCONJ,13,0.3212,0.007450
DET,VERB,DET -> VERB,13,0.3212,0.009034
SCONJ,PRON,SCONJ -> PRON,13,0.3212,0.036415
ADP,ADJ,ADP -> ADJ,12,0.2965,0.006877
DET,SYM,DET -> SYM,12,0.2965,0.008339
NUM,ADP,NUM -> ADP,12,0.2965,0.039474
NUM,CCONJ,NUM -> CCONJ,12,0.2965,0.039474
PRON,AUX,PRON -> AUX,12,0.2965,0.003752
PROPN,INTJ,PROPN -> INTJ,12,0.2965,0.015209
SYM,NOUN,SYM -> NOUN,12,0.2965,0.042403
ADP,AUX,ADP -> AUX,11,0.2718,0.006304
ADP,VERB,ADP -> VERB,11,0.2718,0.006304
NOUN,CCONJ,NOUN -> CCONJ,11,0.2718,0.003538
PRON,ADJ,PRON -> ADJ,11,0.2718,0.003440
SYM,CCONJ,SYM -> CCONJ,11,0.2718,0.038869
ADJ,SYM,ADJ -> SYM,10,0.2471,0.005872
ADJ,INTJ,ADJ -> INTJ,9,0.2224,0.005285
DET,ADJ,DET -> ADJ,9,0.2224,0.006254
DET,PROPN,DET -> PROPN,9,0.2224,0.006254
NUM,ADJ,NUM -> ADJ,9,0.2224,0.029605
PROPN,AUX,PROPN -> AUX,9,0.2224,0.011407
PROPN,SYM,PROPN -> SYM,9,0.2224,0.011407
ADV,INTJ,ADV -> INTJ,8,0.1977,0.004061
AUX,VERB,AUX -> VERB,8,0.1977,0.007968
INTJ,ADV,INTJ -> ADV,8,0.1977,0.010724
INTJ,NOUN,INTJ -> NOUN,8,0.1977,0.010724
INTJ,PRON,INTJ -> PRON,8,0.1977,0.010724
PRON,NUM,PRON -> NUM,8,0.1977,0.002502
SYM,AUX,SYM -> AUX,8,0.1977,0.028269
VERB,SYM,VERB -> SYM,8,0.1977,0.002759
ADV,SYM,ADV -> SYM,7,0.1730,0.003553
AUX,ADV,AUX -> ADV,7,0.1730,0.006972
NOUN,SCONJ,NOUN -> SCONJ,7,0.1730,0.002252
PRON,INTJ,PRON -> INTJ,7,0.1730,0.002189
PROPN,CCONJ,PROPN -> CCONJ,7,0.1730,0.008872
PROPN,DET,PROPN -> DET,7,0.1730,0.008872
SYM,VERB,SYM -> VERB,7,0.1730,0.024735
VERB,INTJ,VERB -> INTJ,7,0.1730,0.002414
VERB,NUM,VERB -> NUM,7,0.1730,0.002414
CCONJ,VERB,CCONJ -> VERB,6,0.1483,0.008357
DET,INTJ,DET -> INTJ,6,0.1483,0.004170
DET,NUM,DET -> NUM,6,0.1483,0.004170
INTJ,INTJ,INTJ -> INTJ,6,0.1483,0.008043
NUM,PRON,NUM -> PRON,6,0.1483,0.019737
SCONJ,SCONJ,SCONJ -> SCONJ,6,0.1483,0.016807
SYM,ADJ,SYM -> ADJ,6,0.1483,0.021201
SYM,ADP,SYM -> ADP,6,0.1483,0.021201
SYM,DET,SYM -> DET,6,0.1483,0.021201
SYM,SYM,SYM -> SYM,6,0.1483,0.021201
VERB,SCONJ,VERB -> SCONJ,6,0.1483,0.002069
ADP,INTJ,ADP -> INTJ,5,0.1235,0.002865
ADP,SCONJ,ADP -> SCONJ,5,0.1235,0.002865
ADV,NUM,ADV -> NUM,5,0.1235,0.002538
AUX,DET,AUX -> DET,5,0.1235,0.004980
AUX,PROPN,AUX -> PROPN,5,0.1235,0.004980
CCONJ,ADJ,CCONJ -> ADJ,5,0.1235,0.006964
CCONJ,NOUN,CCONJ -> NOUN,5,0.1235,0.006964
NOUN,NUM,NOUN -> NUM,5,0.1235,0.001608
NUM,ADV,NUM -> ADV,5,0.1235,0.016447
NUM,NUM,NUM -> NUM,5,0.1235,0.016447
PRON,CCONJ,PRON -> CCONJ,5,0.1235,0.001563
PRON,PROPN,PRON -> PROPN,5,0.1235,0.001563
SCONJ,DET,SCONJ -> DET,5,0.1235,0.014006
SYM,ADV,SYM -> ADV,5,0.1235,0.017668
CCONJ,ADV,CCONJ -> ADV,4,0.0988,0.005571
CCONJ,INTJ,CCONJ -> INTJ,4,0.0988,0.005571
INTJ,ADJ,INTJ -> ADJ,4,0.0988,0.005362
NUM,NOUN,NUM -> NOUN,4,0.0988,0.013158
NUM,PROPN,NUM -> PROPN,4,0.0988,0.013158
ADJ,CCONJ,ADJ -> CCONJ,3,0.0741,0.001762
ADP,NUM,ADP -> NUM,3,0.0741,0.001719
ADV,SCONJ,ADV -> SCONJ,3,0.0741,0.001523
AUX,ADP,AUX -> ADP,3,0.0741,0.002988
AUX,SYM,AUX -> SYM,3,0.0741,0.002988
CCONJ,AUX,CCONJ -> AUX,3,0.0741,0.004178
CCONJ,SYM,CCONJ -> SYM,3,0.0741,0.004178
DET,SCONJ,DET -> SCONJ,3,0.0741,0.002085
INTJ,ADP,INTJ -> ADP,3,0.0741,0.004021
INTJ,PROPN,INTJ -> PROPN,3,0.0741,0.004021
INTJ,SYM,INTJ -> SYM,3,0.0741,0.004021
INTJ,VERB,INTJ -> VERB,3,0.0741,0.004021
PROPN,SCONJ,PROPN -> SCONJ,3,0.0741,0.003802
SCONJ,ADP,SCONJ -> ADP,3,0.0741,0.008403
SCONJ,INTJ,SCONJ -> INTJ,3,0.0741,0.008403
SCONJ,NOUN,SCONJ -> NOUN,3,0.0741,0.008403
