dep_tag,count,percentage
ROOT,6808,34.1065
acl,7,0.0351
acl:relcl,11,0.0551
advcl,70,0.3507
advmod,1932,9.6789
amod,629,3.1511
appos,44,0.2204
aux,224,1.1222
aux:pass,10,0.0501
case,1249,6.2572
cc,570,2.8556
ccomp,53,0.2655
compound:prt,75,0.3757
conj,142,0.7114
cop,490,2.4548
csubj,6,0.0301
dep,19,0.0952
det,1338,6.7031
expl,116,0.5811
expl:pv,1,0.0050
fixed,331,1.6582
flat,76,0.3807
iobj,16,0.0802
mark,672,3.3666
nmod,279,1.3977
nmod:poss,261,1.3075
nsubj,2536,12.7048
nsubj:pass,14,0.0701
nummod,102,0.5110
obj,738,3.6972
obl,543,2.7203
parataxis,170,0.8517
punct,64,0.3206
xcomp,365,1.8286
TOTAL,19961,100.0000
