source_pos,destination_pos,pair,count,percentage,source_category_error_rate
NOUN,NOUN,NOUN -> NOUN,496,10.5420,0.159537
PRON,PRON,PRON -> PRON,274,5.8236,0.085679
VERB,VERB,VERB -> VERB,244,5.1860,0.084138
ADJ,ADJ,ADJ -> ADJ,174,3.6982,0.102173
VERB,NOUN,VERB -> NOUN,149,3.1668,0.051379
NOUN,VERB,NOUN -> VERB,114,2.4230,0.036668
DET,DET,DET -> DET,102,2.1679,0.070883
PROPN,NOUN,PROPN -> NOUN,88,1.8704,0.111534
NOUN,ADV,NOUN -> ADV,83,1.7641,0.026697
VERB,PRON,VERB -> PRON,77,1.6366,0.026552
NOUN,ADJ,NOUN -> ADJ,76,1.6153,0.024445
NUM,DET,NUM -> DET,75,1.5940,0.246711
NOUN,PRON,NOUN -> PRON,74,1.5728,0.023802
NOUN,PROPN,NOUN -> PROPN,74,1.5728,0.023802
PROPN,PROPN,PROPN -> PROPN,65,1.3815,0.082383
ADJ,NOUN,ADJ -> NOUN,64,1.3603,0.037581
ADV,NOUN,ADV -> NOUN,64,1.3603,0.032487
VERB,ADV,VERB -> ADV,62,1.3177,0.021379
ADP,ADP,ADP -> ADP,55,1.1690,0.031519
ADV,PRON,ADV -> PRON,55,1.1690,0.027919
ADV,ADV,ADV -> ADV,54,1.1477,0.027411
PRON,ADV,PRON -> ADV,50,1.0627,0.015635
VERB,ADJ,VERB -> ADJ,49,1.0414,0.016897
ADJ,VERB,ADJ -> VERB,48,1.0202,0.028186
PROPN,PRON,PROPN -> PRON,46,0.9777,0.058302
DET,PRON,DET -> PRON,43,0.9139,0.029882
VERB,AUX,VERB -> AUX,43,0.9139,0.014828
ADV,VERB,ADV -> VERB,42,0.8927,0.021320
PRON,DET,PRON -> DET,42,0.8927,0.013133
ADP,DET,ADP -> DET,38,0.8077,0.021777
ADJ,PRON,ADJ -> PRON,36,0.7651,0.021139
NOUN,ADP,NOUN -> ADP,36,0.7651,0.011579
VERB,ADP,VERB -> ADP,36,0.7651,0.012414
DET,ADP,DET -> ADP,35,0.7439,0.024322
PRON,VERB,PRON -> VERB,35,0.7439,0.010944
DET,CCONJ,DET -> CCONJ,34,0.7226,0.023628
ADV,ADJ,ADV -> ADJ,33,0.7014,0.016751
NOUN,AUX,NOUN -> AUX,33,0.7014,0.010614
PRON,NOUN,PRON -> NOUN,33,0.7014,0.010319
VERB,DET,VERB -> DET,32,0.6801,0.011034
ADP,CCONJ,ADP -> CCONJ,31,0.6589,0.017765
ADJ,ADV,ADJ -> ADV,30,0.6376,0.017616
AUX,VERB,AUX -> VERB,30,0.6376,0.029880
PROPN,ADV,PROPN -> ADV,30,0.6376,0.038023
VERB,PROPN,VERB -> PROPN,29,0.6164,0.010000
ADJ,DET,ADJ -> DET,28,0.5951,0.016442
DET,ADV,DET -> ADV,28,0.5951,0.019458
SYM,PRON,SYM -> PRON,28,0.5951,0.098940
ADP,PRON,ADP -> PRON,26,0.5526,0.014900
ADV,DET,ADV -> DET,26,0.5526,0.013198
NOUN,DET,NOUN -> DET,26,0.5526,0.008363
PRON,ADJ,PRON -> ADJ,26,0.5526,0.008130
ADP,ADV,ADP -> ADV,25,0.5313,0.014327
CCONJ,DET,CCONJ -> DET,25,0.5313,0.034819
DET,VERB,DET -> VERB,24,0.5101,0.016678
ADP,ADJ,ADP -> ADJ,23,0.4888,0.013181
ADV,ADP,ADV -> ADP,22,0.4676,0.011168
PRON,ADP,PRON -> ADP,22,0.4676,0.006879
AUX,NOUN,AUX -> NOUN,21,0.4463,0.020916
ADP,VERB,ADP -> VERB,20,0.4251,0.011461
CCONJ,ADP,CCONJ -> ADP,20,0.4251,0.027855
ADJ,ADP,ADJ -> ADP,19,0.4038,0.011157
SCONJ,PRON,SCONJ -> PRON,19,0.4038,0.053221
ADJ,PROPN,ADJ -> PROPN,18,0.3826,0.010570
PRON,AUX,PRON -> AUX,18,0.3826,0.005629
PROPN,VERB,PROPN -> VERB,18,0.3826,0.022814
DET,NOUN,DET -> NOUN,17,0.3613,0.011814
NOUN,CCONJ,NOUN -> CCONJ,17,0.3613,0.005468
PROPN,ADJ,PROPN -> ADJ,17,0.3613,0.021546
SYM,NOUN,SYM -> NOUN,17,0.3613,0.060071
ADP,NOUN,ADP -> NOUN,16,0.3401,0.009169
ADV,AUX,ADV -> AUX,16,0.3401,0.008122
AUX,ADV,AUX -> ADV,16,0.3401,0.015936
AUX,AUX,AUX -> AUX,16,0.3401,0.015936
DET,AUX,DET -> AUX,16,0.3401,0.011119
PRON,CCONJ,PRON -> CCONJ,16,0.3401,0.005003
AUX,PRON,AUX -> PRON,15,0.3188,0.014940
NOUN,SYM,NOUN -> SYM,15,0.3188,0.004825
VERB,CCONJ,VERB -> CCONJ,15,0.3188,0.005172
NUM,CCONJ,NUM -> CCONJ,14,0.2976,0.046053
PROPN,ADP,PROPN -> ADP,14,0.2976,0.017744
PROPN,INTJ,PROPN -> INTJ,14,0.2976,0.017744
DET,ADJ,DET -> ADJ,13,0.2763,0.009034
NUM,ADP,NUM -> ADP,13,0.2763,0.042763
AUX,DET,AUX -> DET,12,0.2550,0.011952
NOUN,INTJ,NOUN -> INTJ,12,0.2550,0.003860
SYM,ADP,SYM -> ADP,12,0.2550,0.042403
ADP,AUX,ADP -> AUX,11,0.2338,0.006304
ADV,SYM,ADV -> SYM,11,0.2338,0.005584
NUM,ADJ,NUM -> ADJ,11,0.2338,0.036184
PRON,INTJ,PRON -> INTJ,11,0.2338,0.003440
ADP,PROPN,ADP -> PROPN,10,0.2125,0.005731
NUM,PRON,NUM -> PRON,10,0.2125,0.032895
PRON,PROPN,PRON -> PROPN,10,0.2125,0.003127
SCONJ,SCONJ,SCONJ -> SCONJ,10,0.2125,0.028011
SYM,CCONJ,SYM -> CCONJ,10,0.2125,0.035336
SYM,DET,SYM -> DET,10,0.2125,0.035336
VERB,INTJ,VERB -> INTJ,10,0.2125,0.003448
NOUN,SCONJ,NOUN -> SCONJ,9,0.1913,0.002895
PROPN,AUX,PROPN -> AUX,9,0.1913,0.011407
PROPN,CCONJ,PROPN -> CCONJ,9,0.1913,0.011407
SYM,ADV,SYM -> ADV,9,0.1913,0.031802
ADP,SYM,ADP -> SYM,8,0.1700,0.004585
ADV,CCONJ,ADV -> CCONJ,8,0.1700,0.004061
ADV,INTJ,ADV -> INTJ,8,0.1700,0.004061
ADV,PROPN,ADV -> PROPN,8,0.1700,0.004061
CCONJ,NOUN,CCONJ -> NOUN,8,0.1700,0.011142
CCONJ,VERB,CCONJ -> VERB,8,0.1700,0.011142
DET,SCONJ,DET -> SCONJ,8,0.1700,0.005559
NUM,NOUN,NUM -> NOUN,8,0.1700,0.026316
PRON,SCONJ,PRON -> SCONJ,8,0.1700,0.002502
VERB,NUM,VERB -> NUM,8,0.1700,0.002759
AUX,CCONJ,AUX -> CCONJ,7,0.1488,0.006972
DET,INTJ,DET -> INTJ,7,0.1488,0.004864
INTJ,ADV,INTJ -> ADV,7,0.1488,0.009383
INTJ,PRON,INTJ -> PRON,7,0.1488,0.009383
SYM,INTJ,SYM -> INTJ,7,0.1488,0.024735
ADJ,CCONJ,ADJ -> CCONJ,6,0.1275,0.003523
ADJ,INTJ,ADJ -> INTJ,6,0.1275,0.003523
