model,speech_type,destination_pos,count,percentage,total_insertions
chirp,read,ADJ,52,4.9808,1044
chirp,read,ADP,142,13.6015,1044
chirp,read,ADV,106,10.1533,1044
chirp,read,AUX,56,5.3640,1044
chirp,read,CCONJ,33,3.1609,1044
chirp,read,DET,131,12.5479,1044
chirp,read,INTJ,53,5.0766,1044
chirp,read,NOUN,127,12.1648,1044
chirp,read,NUM,14,1.3410,1044
chirp,read,PRON,171,16.3793,1044
chirp,read,PROPN,26,2.4904,1044
chirp,read,SCONJ,9,0.8621,1044
chirp,read,SYM,14,1.3410,1044
chirp,read,VERB,110,10.5364,1044
chirp,read,X,0,0.0000,1044
chirp,HMI,ADJ,32,3.3684,950
chirp,HMI,ADP,65,6.8421,950
chirp,HMI,ADV,80,8.4211,950
chirp,HMI,AUX,68,7.1579,950
chirp,HMI,CCONJ,29,3.0526,950
chirp,HMI,DET,133,14.0000,950
chirp,HMI,INTJ,146,15.3684,950
chirp,HMI,NOUN,57,6.0000,950
chirp,HMI,NUM,10,1.0526,950
chirp,HMI,PRON,201,21.1579,950
chirp,HMI,PROPN,12,1.2632,950
chirp,HMI,SCONJ,11,1.1579,950
chirp,HMI,SYM,14,1.4737,950
chirp,HMI,VERB,92,9.6842,950
chirp,HMI,X,0,0.0000,950
