model,speech_type,destination_pos,count,percentage,total_insertions
whisper,read,ADJ,115,6.9528,1654
whisper,read,ADP,245,14.8126,1654
whisper,read,ADV,126,7.6179,1654
whisper,read,AUX,63,3.8089,1654
whisper,read,CCONJ,109,6.5901,1654
whisper,read,DET,191,11.5478,1654
whisper,read,INTJ,34,2.0556,1654
whisper,read,NOUN,226,13.6638,1654
whisper,read,NUM,38,2.2975,1654
whisper,read,PRON,242,14.6312,1654
whisper,read,PROPN,47,2.8416,1654
whisper,read,SCONJ,11,0.6651,1654
whisper,read,SYM,42,2.5393,1654
whisper,read,VERB,164,9.9154,1654
whisper,read,X,1,0.0605,1654
whisper,HMI,ADJ,53,3.7857,1400
whisper,HMI,ADP,126,9.0000,1400
whisper,HMI,ADV,130,9.2857,1400
whisper,HMI,AUX,94,6.7143,1400
whisper,HMI,CCONJ,87,6.2143,1400
whisper,HMI,DET,165,11.7857,1400
whisper,HMI,INTJ,104,7.4286,1400
whisper,HMI,NOUN,81,5.7857,1400
whisper,HMI,NUM,3,0.2143,1400
whisper,HMI,PRON,337,24.0714,1400
whisper,HMI,PROPN,13,0.9286,1400
whisper,HMI,SCONJ,18,1.2857,1400
whisper,HMI,SYM,13,0.9286,1400
whisper,HMI,VERB,176,12.5714,1400
whisper,HMI,X,0,0.0000,1400
