dep_tag,count,percentage
ROOT,12541,30.9234
acl,16,0.0395
acl:relcl,62,0.1529
advcl,149,0.3674
advmod,3271,8.0656
amod,1457,3.5927
appos,114,0.2811
aux,482,1.1885
aux:pass,67,0.1652
case,3441,8.4848
cc,1244,3.0674
ccomp,87,0.2145
compound:prt,412,1.0159
conj,654,1.6126
cop,1040,2.5644
csubj,18,0.0444
dep,62,0.1529
det,4509,11.1182
expl,122,0.3008
expl:pv,3,0.0074
fixed,1075,2.6507
flat,97,0.2392
iobj,14,0.0345
mark,973,2.3992
nmod,951,2.3450
nmod:poss,504,1.2428
nsubj,3680,9.0741
nsubj:pass,27,0.0666
nummod,134,0.3304
obj,866,2.1354
obl,1547,3.8146
obl:agent,4,0.0099
parataxis,333,0.8211
punct,154,0.3797
xcomp,445,1.0973
TOTAL,40555,100.0000
