dep_tag,count,percentage
ROOT,12701,30.5144
acl,14,0.0336
acl:relcl,61,0.1466
advcl,145,0.3484
advmod,3350,8.0484
amod,1617,3.8849
appos,169,0.4060
aux,504,1.2109
aux:pass,39,0.0937
case,3433,8.2478
cc,1365,3.2794
ccomp,81,0.1946
compound:prt,430,1.0331
conj,711,1.7082
cop,1024,2.4602
csubj,14,0.0336
dep,79,0.1898
det,4172,10.0233
expl,100,0.2403
fixed,1252,3.0080
flat,172,0.4132
iobj,4,0.0096
mark,961,2.3088
nmod,1116,2.6812
nmod:poss,491,1.1796
nsubj,3667,8.8100
nsubj:pass,25,0.0601
nummod,549,1.3190
obj,869,2.0878
obl,1574,3.7816
obl:agent,3,0.0072
parataxis,397,0.9538
punct,151,0.3628
xcomp,383,0.9202
TOTAL,41623,100.0000
